date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5,std_resid,squared_std_resid
2019-01-04,-0.7069439,0.49976972,0.5939522,0.77068293,-1.7928766,-1.2676606,-0.91729546,0.84143096
2019-01-07,0.31913608,0.10184784,0.8407225,0.9169092,-2.1330497,-1.5081815,0.34805635,0.12114322
2019-01-08,-0.2801634,0.07849153,0.487302,0.6980702,-1.6239542,-1.1482233,-0.40133986,0.16107368
2019-01-09,0.47425535,0.22491814,0.58751714,0.76649666,-1.7831378,-1.2607747,0.61873114,0.38282824
2019-01-10,-0.35742834,0.12775502,0.42136908,0.64912945,-1.5101008,-1.0677229,-0.55062723,0.30319035
2019-01-11,0.18664166,0.03483511,0.65773463,0.8110084,-1.8866876,-1.3339901,0.2301353,0.05296226
2019-01-14,0.15526748,0.024107989,0.7279271,0.8531864,-1.9848084,-1.4033668,0.18198541,0.033118688
2019-01-15,-0.22521847,0.050723363,0.6831039,0.826501,-1.9227288,-1.3594731,-0.2724963,0.07425424
2019-01-16,0.41896445,0.17553121,0.75655353,0.86980087,-2.0234594,-1.430695,0.48167858,0.23201425
2019-01-17,-0.046462916,0.0021588025,0.5585057,0.7473324,-1.7385551,-1.2292523,-0.062171686,0.0038653186
2019-01-18,-0.7541886,0.56880045,0.5854084,0.76511985,-1.7799349,-1.2585101,-0.985713,0.97163016
2019-01-22,0.09360725,0.008762317,0.72164327,0.8494959,-1.9762229,-1.3972963,0.110191524,0.012142172
2019-01-23,0.046770785,0.0021875063,1.1930977,1.0922902,-2.5410469,-1.7966574,0.042819012,0.0018334677
2019-01-24,-0.31223196,0.0974888,1.1709769,1.0821168,-2.5173802,-1.7799238,-0.28853813,0.08325425
2019-01-25,1.4205594,2.017989,1.2300506,1.1090765,-2.5800977,-1.8242685,1.2808489,1.6405739
2019-01-28,0.38464543,0.14795211,0.42187494,0.649519,-1.5110072,-1.0683637,0.5922004,0.3507013
2019-01-29,0.4443374,0.19743572,0.6560302,0.8099569,-1.8842415,-1.3322605,0.5485939,0.30095524
2019-01-30,0.12987077,0.016866418,0.8088943,0.8993855,-2.0922835,-1.4793575,0.14439945,0.0208512
2019-01-31,0.7453584,0.55555916,0.71675646,0.8466147,-1.9695203,-1.3925573,0.8803986,0.77510166
2019-02-01,-0.21238928,0.045109205,0.6539995,0.80870235,-1.881323,-1.330197,-0.26262972,0.06897437
2019-02-04,-0.19762665,0.039056294,0.6860615,0.8282883,-1.9268867,-1.362413,-0.23859645,0.05692827
2019-02-05,-0.0076163327,5.8008525e-05,0.6886003,0.82981944,-1.9304487,-1.3649315,-0.009178301,8.424121e-05
2019-02-06,-0.35826933,0.12835692,0.6998454,0.83656764,-1.9461473,-1.3760313,-0.42826104,0.18340752
2019-02-07,-0.0076349294,5.8292146e-05,0.83265835,0.91250116,-2.122795,-1.5009308,-0.008367036,7.0007285e-05
2019-02-08,0.32785106,0.107486315,0.8649594,0.93003196,-2.1635778,-1.5297664,0.3525159,0.12426747
2019-02-11,-0.5113112,0.2614391,0.77370554,0.87960535,-2.046268,-1.446822,-0.5812961,0.33790514
2019-02-12,0.16817917,0.028284233,0.81946623,0.90524375,-2.1059117,-1.4889934,0.1857833,0.034515433
2019-02-13,0.12214488,0.014919371,0.7057132,0.8400674,-1.954289,-1.3817879,0.1453989,0.02114084
2019-02-14,-0.0763184,0.005824498,0.900283,0.94883245,-2.2073143,-1.5606905,-0.08043401,0.0064696297
2019-02-15,0.6316796,0.39901912,0.76538336,0.8748619,-2.035233,-1.4390197,0.7220335,0.5213324
2019-02-19,1.6552932,2.7399957,0.69736314,0.8350827,-1.9426929,-1.3735888,1.9821907,3.92908
