date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5,std_resid,squared_std_resid
2023-05-09,0.48738074,0.23753999,1.0517792,1.0255629,-2.385816,-1.6869007,0.47523242,0.22584586
2023-05-10,-0.28032336,0.078581184,1.7899277,1.3378818,-3.1123784,-2.2006197,-0.20952775,0.043901876
2023-05-11,-0.78117913,0.6102408,2.7773302,1.6665324,-3.876934,-2.7412019,-0.46874523,0.21972209
2023-05-12,-0.009925106,9.850772e-05,4.858211,2.204135,-5.1275845,-3.6254792,-0.0045029484,2.0276544e-05
2023-05-15,0.17358963,0.030133361,3.6899323,1.9209197,-4.468727,-3.1596315,0.09036798,0.008166372
2023-05-16,-1.4776615,2.1834834,1.331994,1.1541204,-2.6848855,-1.8983592,-1.2803355,1.6392591
2023-05-17,-0.38800147,0.15054514,0.7016101,0.8376217,-1.9485993,-1.377765,-0.46321803,0.21457094
2023-05-18,-1.229313,1.5112104,5.1491203,2.2691674,-5.2788725,-3.732448,-0.54174626,0.293489
2023-05-19,1.1282876,1.2730328,6.6418867,2.5771859,-5.995431,-4.2390933,0.4377983,0.19166735
2023-05-22,-0.19728865,0.03892281,1.2909459,1.136198,-2.6431918,-1.8688794,-0.17363931,0.030150611
2023-05-23,-0.12160645,0.0147881275,1.819286,1.3488091,-3.1377993,-2.2185936,-0.09015838,0.008128533
2023-05-24,-0.48790377,0.23805009,1.0915165,1.0447567,-2.4304674,-1.7184718,-0.4670023,0.21809115
2023-05-25,-1.0087427,1.0175618,0.57567394,0.7587318,-1.765074,-1.2480026,-1.3295115,1.7676009
2023-05-26,0.051450916,0.0026471966,0.7667527,0.87564415,-2.0370529,-1.4403064,0.05875779,0.0034524777
2023-05-30,0.71244115,0.5075724,0.72814524,0.8533143,-1.9851059,-1.4035771,0.83491063,0.6970758
2023-05-31,0.30087605,0.090526395,0.7026254,0.8382275,-1.9500087,-1.3787615,0.3589432,0.12884022
2023-06-01,0.7153929,0.511787,0.6422806,0.8014241,-1.8643912,-1.3182253,0.8926521,0.79682773
2023-06-02,-1.3026836,1.6969845,0.75168717,0.866999,-2.016941,-1.4260864,-1.5025203,2.2575674
2023-06-05,0.28641465,0.08203335,0.5312328,0.72885716,-1.6955752,-1.1988633,0.39296404,0.15442073
2023-06-06,0.38231218,0.1461626,0.58357435,0.76392037,-1.7771444,-1.2565372,0.5004608,0.250461
2023-06-07,-1.1667933,1.3614067,0.59418344,0.77083296,-1.7932255,-1.2679074,-1.5136786,2.2912228
2023-06-08,1.0700778,1.1450665,0.37435094,0.6118423,-1.423358,-1.0063909,1.7489438,3.0588045
2023-06-09,-0.07132429,0.005087154,0.4062444,0.63737303,-1.4827514,-1.0483853,-0.111903526,0.012522399
2023-06-12,-0.35226083,0.12408769,0.5094506,0.7137581,-1.6604496,-1.1740276,-0.4935297,0.24357156
2023-06-13,-0.54873717,0.30111247,0.7240668,0.85092115,-1.9795386,-1.3996407,-0.6448743,0.41586283
2023-06-14,0.54873717,0.30111247,0.51769024,0.7195069,-1.6738234,-1.1834835,0.7626572,0.581646
2023-06-15,0.12777594,0.01632669,0.56525624,0.7518352,-1.7490302,-1.2366589,0.16995205,0.0288837
2023-06-16,0.030640703,0.00093885267,0.59998727,0.77458847,-1.8019621,-1.2740846,0.039557397,0.0015647877
2023-06-20,-1.1762135,1.3834782,0.6583099,0.811363,-1.8875126,-1.3345733,-1.449676,2.1015606
2023-06-21,-0.11372784,0.012934021,0.7188363,0.84784216,-1.9723758,-1.3945762,-0.13413799,0.017993
2023-06-22,-1.0712582,1.1475941,0.75367564,0.8681449,-2.019607,-1.4279714,-1.2339624,1.5226632
2023-06-23,0.33404824,0.111588225,0.8520325,0.92305607,-2.1473494,-1.5182921,0.36189377,0.13096711
2023-06-26,0.23940761,0.057316005,0.65026975,0.806393,-1.8759507,-1.3263985,0.296887,0.088141896
2023-06-27,-0.5055097,0.25554004,0.46409145,0.6812426,-1.5848072,-1.1205443,-0.74204063,0.5506243
2023-06-28,-0.088856146,0.007895415,0.58245957,0.7631904,-1.7754463,-1.2553364,-0.116427235,0.013555301
2023-06-29,-0.1622451,0.026323471,0.52450323,0.72422594,-1.6848015,-1.1912457,-0.22402552,0.05018743
2023-06-30,0.62136453,0.38609388,0.6135471,0.7832925,-1.8222108,-1.2884015,0.7932727,0.6292815
2023-07-03,0.031225959,0.0009750605,0.44047573,0.6636835,-1.5439587,-1.0916622,0.047049474,0.002213653
2023-07-05,-0.10933673,0.01195452,0.51244444,0.71585226,-1.6653214,-1.1774721,-0.15273644,0.02332842
2023-07-06,-0.5694462,0.32426897,0.6036052,0.7769203,-1.8073869,-1.2779201,-0.7329532,0.53722036
2023-07-07,0.9126769,0.8329791,0.79819286,0.8934164,-2.0783973,-1.4695392,1.0215582,1.0435811
2023-07-10,-0.062315706,0.0038832473,0.63850063,0.7990624,-1.858897,-1.3143406,-0.07798603,0.006081821
2023-07-11,0.3267409,0.10675961,0.5785722,0.76063937,-1.7695117,-1.2511404,0.42956084,0.18452251
2023-07-12,1.2810415,1.6410674,0.509837,0.7140287,-1.6610792,-1.1744727,1.7941036,3.2188077
2023-07-13,0.15324108,0.02348283,0.5352264,0.7315917,-1.7019367,-1.2033613,0.20946258,0.043874573
2023-07-14,0.045927815,0.0021093641,0.5044223,0.71022695,-1.6522349,-1.1682193,0.06466639,0.004181742
2023-07-17,-0.39360827,0.15492748,0.4435807,0.66601855,-1.5493908,-1.095503,-0.59098697,0.3492656
2023-07-18,1.262228,1.5932195,0.4475261,0.6689739,-1.5562661,-1.1003642,1.886812,3.5600593
2023-07-19,0.01517429,0.00023025909,0.21193215,0.46036088,-1.0709596,-0.7572262,0.032961726,0.0010864754
2023-07-20,-0.466317,0.21745154,0.34989485,0.5915191,-1.3760792,-0.9729623,-0.788338,0.6214768
2023-07-21,-0.2034278,0.04138287,0.5332061,0.73020965,-1.6987216,-1.201088,-0.2785882,0.07761139
2023-07-24,-0.2038425,0.04155177,0.5320448,0.72941405,-1.6968708,-1.1997793,-0.27946064,0.078098245
2023-07-25,0.09177682,0.008422985,0.5429397,0.7368444,-1.7141564,-1.2120012,0.12455386,0.015513664
2023-07-26,0.34597078,0.11969578,0.54447067,0.73788255,-1.7165715,-1.2137088,0.46886972,0.21983881
2023-07-27,-1.20074,1.4417765,0.53180045,0.7292465,-1.696481,-1.1995038,-1.6465489,2.7111232
2023-07-28,0.7680922,0.58996564,0.4411216,0.66416985,-1.5450901,-1.0924622,1.1564696,1.3374219
2023-07-31,0.5138771,0.26406968,0.46434838,0.6814311,-1.5852458,-1.1208544,0.7541145,0.5686887
2023-08-01,-1.523861,2.3221526,0.37813973,0.6149307,-1.4305427,-1.0114709,-2.4781022,6.1409907
2023-08-02,-0.17018269,0.028962148,0.3473161,0.58933526,-1.3709989,-0.96937025,-0.2887706,0.08338845
2023-08-03,-0.27911448,0.077904895,0.7332029,0.85627264,-1.991988,-1.4084431,-0.3259645,0.106252864
