date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5,std_resid,squared_std_resid
2014-06-20,3.2822747,10.773328,4.223208,2.0550444,-4.780748,-3.380247,1.5971794,2.550982
2014-06-27,0.21251138,0.045161083,5.002371,2.236598,-5.203105,-3.6788762,0.09501545,0.009027936
2014-07-04,0.10608657,0.01125436,4.5767546,2.1393352,-4.9768376,-3.518893,0.04958857,0.0024590262
2014-07-11,1.2493558,1.5608898,4.0809126,2.0201268,-4.6995177,-3.3228128,0.61845416,0.38248554
2014-07-18,-2.1012073,4.415072,4.045037,2.0112276,-4.678815,-3.3081748,-1.0447387,1.0914788
2014-07-25,-0.46702042,0.21810807,4.178374,2.0441072,-4.7553043,-3.362257,-0.22847159,0.052199267
2014-08-01,-0.7317012,0.5353866,3.8251445,1.9557977,-4.5498657,-3.2170007,-0.37411907,0.13996509
2014-08-08,1.1758099,1.3825288,3.7250936,1.9300501,-4.489968,-3.17465,0.6092121,0.37113938
2014-08-15,-0.3367283,0.11338595,3.7668283,1.9408319,-4.51505,-3.1923842,-0.17349689,0.030101169
2014-08-22,-2.0054114,4.0216746,3.6525717,1.9111702,-4.446047,-3.1435952,-1.0493107,1.1010529
2014-08-29,0.56154203,0.31532946,3.8187914,1.9541728,-4.546086,-3.2143283,0.28735536,0.08257311
2014-09-05,-1.567676,2.457608,3.6105587,1.9001471,-4.420403,-3.1254637,-0.8250287,0.6806724
2014-09-12,-2.8771486,8.277985,3.6762135,1.9173454,-4.4604125,-3.1537526,-1.5005896,2.251769
2014-09-19,-1.1941885,1.4260861,4.088445,2.0219903,-4.7038527,-3.325878,-0.5906005,0.34880894
2014-09-26,-0.09879586,0.009760622,3.7103102,1.9262166,-4.48105,-3.1683443,-0.05129011,0.0026306754
2014-10-03,-1.8202742,3.3133984,3.550676,1.8843238,-4.3835926,-3.0994368,-0.96600926,0.9331739
2014-10-10,2.3869896,5.697719,3.6560874,1.9120898,-4.448186,-3.1451077,1.2483668,1.5584197
2014-10-17,1.4069316,1.9794567,4.2480984,2.0610917,-4.794816,-3.390194,0.6826148,0.46596298
2014-10-24,-0.57502466,0.33065337,4.2912416,2.0715313,-4.8191023,-3.4073658,-0.27758434,0.07705307
2014-10-31,-5.0045805,25.045826,4.0712733,2.0177398,-4.6939645,-3.3188865,-2.4802904,6.1518407
2014-11-07,-0.12816681,0.01642673,6.0384398,2.4573238,-5.71659,-4.041938,-0.05215707,0.00272036
2014-11-14,1.3080986,1.7111218,4.849946,2.2022593,-5.123221,-3.622394,0.59398025,0.35281253
2014-11-21,1.0493276,1.1010884,4.5294905,2.12826,-4.9510727,-3.500676,0.49304485,0.24309322
2014-11-28,-1.8797746,3.5335524,4.566537,2.1369457,-4.971279,-3.514963,-0.8796548,0.7737926
2014-12-05,1.2599013,1.5873512,4.8786135,2.2087584,-5.13834,-3.633084,0.57041156,0.32536936
2014-12-12,2.6451545,6.9968424,5.0464687,2.2464347,-5.2259884,-3.6950562,1.17749,1.3864827
