date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5,std_resid,squared_std_resid
2017-07-07,-2.6213052,6.871241,4.0052605,2.0013146,-4.655754,-3.2918696,-1.3097917,1.7155542
2017-07-14,1.4783449,2.1855037,3.070901,1.7523986,-4.076689,-2.8824391,0.84361225,0.71168166
2017-07-21,2.2331593,4.9870005,3.9837296,1.9959283,-4.6432233,-3.2830098,1.1188575,1.2518421
2017-07-28,1.1178596,1.2496101,3.9047558,1.9760455,-4.596969,-3.2503054,0.5657054,0.3200226
2017-08-04,-0.79946405,0.63914275,4.381039,2.0930932,-4.8692627,-3.4428318,-0.3819534,0.14588839
2017-08-11,2.3096,5.334253,3.7464666,1.9355792,-4.5028305,-3.1837444,1.1932347,1.423809
2017-08-18,-0.15543643,0.024160482,6.3074493,2.5114636,-5.842538,-4.13099,-0.061890773,0.0038304678
2017-08-25,0.5275048,0.2782613,6.0382156,2.457278,-5.7164836,-4.0418625,0.21467037,0.04608337
2017-09-01,2.4456701,5.9813023,4.9457145,2.2238963,-5.1735563,-3.6579838,1.0997231,1.2093909
2017-09-08,1.6102202,2.592809,4.2723503,2.0669665,-4.808483,-3.3998573,0.7790258,0.6068812
2017-09-15,-1.9202491,3.6873567,4.451831,2.1099362,-4.9084454,-3.4705362,-0.9100982,0.8282787
2017-09-22,-2.073761,4.3004847,2.8069623,1.6753992,-3.8975613,-2.7557864,-1.2377713,1.5320777
2017-09-29,-0.9165863,0.8401304,4.2418094,2.0595653,-4.7912655,-3.3876834,-0.4450387,0.19805945
2017-10-06,-0.7755336,0.6014524,4.0444694,2.0110867,-4.6784873,-3.307943,-0.38562912,0.14870982
2017-10-13,2.3241515,5.4016805,4.353977,2.0866187,-4.854201,-3.4321823,1.1138363,1.2406312
2017-10-20,-1.8690665,3.4934094,4.8976493,2.2130632,-5.148355,-3.640165,-0.8445608,0.71328294
2017-10-27,-0.69916815,0.4888361,1.268412,1.126238,-2.6200213,-1.8524966,-0.62079966,0.38539222
2017-11-03,-0.15779096,0.024897987,0.66219985,0.81375664,-1.893081,-1.3385105,-0.19390436,0.0375989
2017-11-10,0.46477094,0.21601203,1.2809998,1.1318126,-2.6329896,-1.861666,0.41064304,0.16862771
2017-11-17,1.8223403,3.320924,3.2226536,1.7951751,-4.176202,-2.9528003,1.0151323,1.0304936
2017-11-24,-0.70475394,0.4966781,0.6808491,0.82513577,-1.9195528,-1.3572276,-0.85410666,0.7294982
2017-12-01,-0.61585873,0.37928197,1.0581685,1.0286732,-2.3930516,-1.6920167,-0.5986923,0.35843247
2017-12-08,-2.6626055,7.089468,1.5277529,1.236023,-2.8754194,-2.0330768,-2.1541717,4.6404557
2017-12-15,0.7281566,0.53021204,2.4792285,1.5745566,-3.6629663,-2.589915,0.46245188,0.21386173
2017-12-22,1.6682187,2.7829537,1.7570996,1.3255564,-3.0837052,-2.1803463,1.2585045,1.5838336
2017-12-29,2.3938878,5.7306986,2.7632487,1.6623023,-3.8670933,-2.7342439,1.4401038,2.0738988
