date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5,std_resid,squared_std_resid
2008-04-28,0.19387485,0.037587456,2.0029864,1.415269,-3.292408,-2.3279104,0.13698798,0.018765708
2008-04-29,-2.6625028,7.088921,2.3455188,1.5315087,-3.5628219,-2.5191076,-1.7384837,3.0223255
2008-04-30,-1.894507,3.5891569,3.0087407,1.7345722,-4.0352182,-2.8531172,-1.0922042,1.1929101
2008-05-01,-0.831939,0.69212246,2.9969213,1.7311618,-4.0272846,-2.8475077,-0.48056686,0.2309445
2008-05-02,3.321406,11.031737,2.5022743,1.5818578,-3.6799514,-2.6019244,2.0996869,4.4086847
2008-05-05,3.0896711,9.546068,0.9207981,0.95958227,-2.2323222,-1.5783724,3.2198086,10.367167
2008-05-06,1.5466956,2.3922672,0.62166196,0.7884554,-1.8342216,-1.2968937,1.9616779,3.8481803
2008-05-07,1.3775353,1.8976036,0.7890081,0.88826126,-2.0664046,-1.4610597,1.5508223,2.4050496
2008-05-08,0.12944235,0.016755322,1.535734,1.2392473,-2.8829203,-2.0383804,0.104452394,0.010910302
2008-05-09,1.8185934,3.307282,2.024443,1.4228292,-3.3099954,-2.3403456,1.2781531,1.6336752
2008-05-12,-1.3829676,1.9125993,1.7915897,1.3385028,-3.113823,-2.201641,-1.0332198,1.0675431
2008-05-13,1.2558655,1.577198,3.0417092,1.7440497,-4.057266,-2.8687065,0.72008586,0.51852363
2008-05-14,-1.2639171,1.5974864,3.343861,1.8286227,-4.2540126,-3.0078166,-0.6911853,0.4777371
2008-05-15,-0.08053353,0.006485649,3.293564,1.8148179,-4.2218976,-2.9851098,-0.044375543,0.0019691887
2008-05-16,1.7331995,3.0039804,2.7275665,1.6515346,-3.8420439,-2.7165325,1.0494479,1.1013409
2008-05-19,0.5999877,0.35998523,1.6084328,1.26824,-2.9503672,-2.086069,0.47308686,0.22381118
2008-05-20,1.5774217,2.488259,2.309239,1.519618,-3.53516,-2.4995492,1.0380383,1.0775235
2008-05-21,3.1271544,9.779095,1.6683836,1.2916592,-3.0048487,-2.1245904,2.4210367,5.8614187
2008-05-22,-1.7880625,3.1971674,1.3302099,1.1533473,-2.6830869,-1.8970873,-1.5503244,2.4035058
2008-05-23,1.049443,1.1013306,2.8353858,1.6838604,-3.9172451,-2.7697039,0.62323636,0.38842356
2008-05-27,-2.5591316,6.5491548,2.7747657,1.6657628,-3.8751435,-2.7399359,-1.5363121,2.3602548
2008-05-28,1.677731,2.8147814,4.267634,2.0658252,-4.805828,-3.39798,0.812136,0.65956485
2008-05-29,-3.4235797,11.720898,3.4039252,1.844973,-4.292049,-3.0347104,-1.855626,3.4433477
2008-05-30,0.5748692,0.33047462,3.0103018,1.7350222,-4.036265,-2.8538575,0.33133247,0.109781206
2008-06-02,0.3214331,0.103319235,2.6188638,1.6182904,-3.7647064,-2.661851,0.1986251,0.03945193
2008-06-03,-2.7375095,7.493958,3.5224156,1.87681,-4.3661127,-3.0870776,-1.4585971,2.1275053
2008-06-04,-1.6301358,2.6573427,3.73652,1.9330081,-4.496849,-3.1795154,-0.84331554,0.7111811
2008-06-05,4.391123,19.28196,3.6546888,1.9117241,-4.4473352,-3.1445062,2.296944,5.2759514
2008-06-06,8.077075,65.23914,1.3759484,1.1730083,-2.7288253,-1.9294269,6.885778,47.413937
2008-06-09,-3.0710664,9.431449,0.4303292,0.65599483,-1.5260721,-1.0790155,-4.6815405,21.91682
2008-06-10,-2.2887459,5.2383575,0.83633906,0.91451573,-2.1274817,-1.5042444,-2.5026863,6.2634387
2008-06-11,3.788422,14.352142,1.3980396,1.1823872,-2.750644,-1.9448539,3.204045,10.265904
2008-06-12,0.26362097,0.06949602,0.7842769,0.88559407,-2.0601997,-1.4566725,0.29767698,0.08861159
2008-06-13,-1.3844144,1.9166033,1.3826172,1.1758474,-2.73543,-1.9340968,-1.1773759,1.386214
2008-06-16,-0.18554947,0.034428604,1.8408961,1.3567963,-3.15638,-2.2317312,-0.13675559,0.01870209
2008-06-17,-0.446733,0.19957037,2.5083733,1.5837845,-3.6844335,-2.6050935,-0.2820668,0.07956167
2008-06-18,1.9727991,3.891936,4.2155848,2.053189,-4.776432,-3.3771954,0.9608463,0.92322564
2008-06-19,-3.537095,12.511042,4.2282543,2.056272,-4.783604,-3.3822665,-1.7201494,2.958914
2008-06-20,2.0184536,4.074155,5.494963,2.3441339,-5.453271,-3.855757,0.86106586,0.7414344
2008-06-23,1.5625395,2.4415295,4.636142,2.15317,-5.0090227,-3.5416496,0.7256925,0.5266296
2008-06-24,0.18995732,0.036083784,5.0644336,2.2504296,-5.235282,-3.7016273,0.084409356,0.0071249395
2008-06-25,-1.8045027,3.25623,5.212824,2.283161,-5.3114266,-3.7554655,-0.7903528,0.6246576
2008-06-26,3.713178,13.78769,6.1820254,2.486368,-5.784157,-4.089711,1.4934145,2.2302868
2008-06-27,0.40736687,0.16594777,4.016446,2.0041072,-4.6622505,-3.296463,0.20326601,0.04131707
2008-06-30,-0.1498924,0.022467732,5.1764784,2.2751875,-5.2928777,-3.7423503,-0.06588134,0.004340351
2008-07-01,0.6904688,0.47674716,6.29543,2.5090697,-5.836969,-4.1270523,0.27518916,0.07572907
2008-07-02,1.8275661,3.339998,6.665887,2.581838,-6.006253,-4.246745,0.70785475,0.50105834
2008-07-03,1.1908927,1.4182254,6.531579,2.5556953,-5.945436,-4.2037444,0.465976,0.21713363
