date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5,std_resid,squared_std_resid
2009-05-22,9.039279,81.708565,13.95496,3.7356339,-8.690384,-6.144571,2.4197443,5.855162
2009-05-29,7.254312,52.625042,13.954258,3.73554,-8.6901655,-6.1444163,1.9419715,3.7712533
2009-06-05,3.1616807,9.996224,13.951951,3.7352312,-8.689446,-6.1439085,0.8464485,0.716475
2009-06-12,5.126405,26.280025,13.948764,3.7348044,-8.688454,-6.1432066,1.3726033,1.8840398
2009-06-19,-3.517557,12.373206,13.947306,3.7346091,-8.688,-6.142885,-0.9418809,0.8871396
2009-06-26,-0.5623248,0.3162092,13.948773,3.7348056,-8.688457,-6.1432085,-0.15056334,0.02266932
2009-07-03,-3.5768037,12.793525,13.941988,3.7338972,-8.686343,-6.141714,-0.9579277,0.9176255
2009-07-10,-10.814514,116.95372,13.943503,3.7341,-8.686815,-6.142048,-2.89615,8.387686
2009-07-17,5.9474826,35.37255,13.964349,3.7368903,-8.693307,-6.1466374,1.5915593,2.533061
2009-07-24,6.8258414,46.59211,13.950304,3.7350106,-8.688934,-6.1435456,1.8275293,3.3398633
2009-07-31,2.036425,4.147027,13.953053,3.7353787,-8.68979,-6.144151,0.54517233,0.29721287
2009-08-07,2.1086454,4.4463854,13.949108,3.7348504,-8.688561,-6.143282,0.56458634,0.31875774
2009-08-14,-4.941771,24.4211,13.947647,3.734655,-8.688107,-6.1429605,-1.3232203,1.7509118
2009-08-21,9.030172,81.544014,13.94785,3.734682,-8.6881695,-6.1430054,2.4179227,5.84635
2009-08-28,-1.5686082,2.4605315,13.950296,3.7350097,-8.688931,-6.143544,-0.41997433,0.17637843
2009-09-04,-6.7089677,45.010246,13.946306,3.7344754,-8.687689,-6.1426654,-1.7964953,3.2273955
2009-09-11,1.8498878,3.422085,13.955985,3.735771,-8.690702,-6.1447964,0.49518237,0.24520558
2009-09-18,3.8920925,15.148384,13.948883,3.7348204,-8.688491,-6.143233,1.0421097,1.0859927
2009-09-25,-8.726386,76.14981,13.945424,3.7343574,-8.687414,-6.1424713,-2.336784,5.460559
2009-10-02,5.7822986,33.43498,13.957472,3.73597,-8.691166,-6.1451235,1.5477369,2.3954895
2009-10-09,2.5685859,6.5976334,13.95011,3.7349846,-8.688873,-6.1435027,0.68770987,0.47294486
2009-10-16,9.001419,81.02554,13.9463825,3.7344856,-8.687713,-6.142682,2.4103503,5.8097887
2009-10-23,2.4776483,6.138741,13.954004,3.7355058,-8.690085,-6.14436,0.6632698,0.43992686
2009-10-30,-4.445176,19.75959,13.948955,3.73483,-8.688514,-6.1432486,-1.1901951,1.4165643
2009-11-06,0.55688846,0.31012475,13.948311,3.7347438,-8.6883135,-6.143107,0.14911021,0.022233855
2009-11-13,-1.4046295,1.972984,13.943975,3.7341633,-8.686963,-6.142152,-0.37615642,0.14149365
