date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5,std_resid,squared_std_resid
2017-10-10,0.26348564,0.06942468,0.30798975,0.55496824,-1.2910491,-0.9128415,0.47477606,0.22541231
2017-10-11,0.15697576,0.024641389,0.30219352,0.5497213,-1.2788429,-0.90421104,0.28555518,0.08154176
2017-10-12,-0.14911975,0.0222367,0.3011475,0.54876906,-1.2766277,-0.90264475,-0.27173498,0.0738399
2017-10-13,0.12168249,0.014806627,0.30534866,0.55258363,-1.2855017,-0.90891916,0.22020647,0.04849089
2017-10-16,0.13325472,0.017756822,0.30532834,0.5525652,-1.2854589,-0.9088889,0.24115655,0.05815648
2017-10-17,0.070475996,0.0049668658,0.3070724,0.55414116,-1.2891251,-0.9114811,0.12718058,0.0161749
2017-10-18,0.09781576,0.009567923,0.31077313,0.5574703,-1.2968699,-0.9169571,0.17546362,0.030787481
2017-10-19,0.027354656,0.0007482772,0.31202,0.5585875,-1.2994688,-0.91879463,0.04897112,0.0023981705
2017-10-20,0.5147231,0.2649399,0.3111167,0.55777836,-1.2975864,-0.9174637,0.9228094,0.8515772
2017-10-23,-0.389682,0.15185206,0.31741154,0.5633929,-1.3106478,-0.9266988,-0.69167006,0.47840747
2017-10-24,0.17556418,0.030822784,0.31272265,0.5592161,-1.3009311,-0.9198286,0.31394696,0.098562695
2017-10-25,-0.4962518,0.24626584,0.3149414,0.5611964,-1.3055379,-0.92308587,-0.8842747,0.7819418
2017-10-26,0.12918511,0.016688792,0.32144135,0.566958,-1.3189416,-0.93256295,0.22785658,0.05191862
2017-10-27,0.81428576,0.6630613,0.32180172,0.5672757,-1.3196806,-0.9330855,1.4354321,2.0604653
2017-10-30,-0.3731962,0.13927542,0.32088998,0.5664715,-1.3178098,-0.9317627,-0.6588084,0.43402854
2017-10-31,0.15566094,0.02423033,0.32504332,0.5701257,-1.3263106,-0.9377733,0.27302915,0.074544914
2017-11-01,0.13212223,0.017456284,0.32848296,0.5731343,-1.3333098,-0.942722,0.23052578,0.053142134
2017-11-02,0.038842995,0.0015087782,0.33084044,0.5751873,-1.3380858,-0.9460989,0.067531034,0.004560441
2017-11-03,0.33329624,0.11108638,0.33344722,0.5774489,-1.343347,-0.9498189,0.5771874,0.33314532
2017-11-06,0.15467152,0.02392328,0.3434233,0.5860233,-1.363294,-0.9639225,0.2639341,0.069661215
2017-11-07,-0.06958235,0.0048417035,0.33199173,0.57618725,-1.340412,-0.94774365,-0.120763436,0.014583807
2017-11-08,0.169948,0.028882321,0.33698505,0.5805041,-1.3504544,-0.9548443,0.29275933,0.08570802
2017-11-09,-0.363414,0.13206972,0.32263592,0.5680105,-1.32139,-0.9342941,-0.6398015,0.40934595
2017-11-10,-0.030991213,0.00096045533,0.3243222,0.56949294,-1.3248386,-0.93673253,-0.05441896,0.002961423
2017-11-13,0.09291112,0.0086324755,0.3406953,0.5836911,-1.3578686,-0.96008646,0.15917857,0.025337817
2017-11-14,-0.2325007,0.054056577,0.32903287,0.5736139,-1.3344254,-0.94351083,-0.40532613,0.16428927
2017-11-15,-0.5017665,0.25176963,0.33024576,0.57467014,-1.3368826,-0.94524825,-0.8731383,0.7623705
2017-11-16,0.8464714,0.7165139,0.33657888,0.5801542,-1.3496404,-0.9542687,1.4590456,2.1288142
2017-11-17,-0.29428127,0.086601466,0.3328416,0.57692426,-1.3421265,-0.94895595,-0.5100865,0.26018822
2017-11-20,0.17048138,0.029063903,0.3387101,0.58198804,-1.3539066,-0.9572851,0.29292935,0.08580761
2017-11-21,0.65214187,0.425289,0.34472004,0.58712864,-1.3658655,-0.9657407,1.1107308,1.2337228
2017-11-22,-0.088493936,0.007831177,0.34124398,0.5841609,-1.3589615,-0.9608592,-0.15148897,0.02294891
2017-11-24,0.23073938,0.053240664,0.3476588,0.589626,-1.3716753,-0.96984845,0.39133176,0.15314054
2017-11-27,-0.049972806,0.0024972814,0.33768398,0.5811058,-1.3518543,-0.95583403,-0.085996054,0.0073953215
2017-11-28,1.009366,1.0188198,0.33673263,0.5802867,-1.3499486,-0.9544866,1.7394265,3.0256045
2017-11-29,-0.060863428,0.003704357,0.33565593,0.5793582,-1.3477887,-0.9529595,-0.10505319,0.011036172
2017-11-30,0.87169844,0.7598582,0.3316879,0.5759235,-1.3397983,-0.94730985,1.5135664,2.290883
2017-12-01,-0.20777431,0.043170165,0.31688744,0.56292754,-1.3095653,-0.9259334,-0.369096,0.13623187
2017-12-04,-0.12104457,0.0146517875,0.3307505,0.5751091,-1.3379039,-0.9459703,-0.21047235,0.044298608
2017-12-05,-0.3603474,0.12985024,0.32324165,0.56854343,-1.3226298,-0.9351707,-0.633808,0.4017126
2017-12-06,0.019025931,0.00036198605,0.32994786,0.57441086,-1.3362794,-0.9448218,0.033122513,0.0010971009
2017-12-07,0.3148251,0.099114835,0.34559318,0.58787173,-1.3675941,-0.96696293,0.53553367,0.2867963
2017-12-08,0.54379904,0.2957174,0.34162065,0.58448327,-1.3597114,-0.9613894,0.93039286,0.86563087
2017-12-11,0.3008515,0.09051162,0.3421127,0.584904,-1.3606902,-0.9620815,0.5143604,0.26456666
2017-12-12,0.17631792,0.031088008,0.33641785,0.58001536,-1.3493174,-0.95404035,0.30398837,0.092408925
2017-12-13,-0.0112545015,0.0001266638,0.34781405,0.5897576,-1.3719814,-0.97006494,-0.019083265,0.00036417102
2017-12-14,-0.4094383,0.16763973,0.33866274,0.5819474,-1.353812,-0.9572182,-0.70356584,0.4950049
2017-12-15,0.82929397,0.68772846,0.35835308,0.598626,-1.3926123,-0.98465216,1.385329,1.9191364
2017-12-18,0.6321236,0.39958024,0.3467469,0.58885217,-1.369875,-0.9685756,1.0734843,1.1523685
2017-12-19,-0.38480037,0.14807133,0.3367288,0.5802834,-1.349941,-0.95448124,-0.6631249,0.43973467
2017-12-20,-0.052391738,0.0027448942,0.325197,0.57026047,-1.3266242,-0.93799496,-0.09187335,0.0084407125
2017-12-21,0.20574196,0.04232975,0.3241669,0.56935656,-1.3245214,-0.9365082,0.36135873,0.13058013
2017-12-22,-0.026152298,0.0006839427,0.32990766,0.57437587,-1.3361981,-0.9447642,-0.04553168,0.0020731338
2017-12-26,-0.11972303,0.014333604,0.33878267,0.5820504,-1.3540516,-0.9573877,-0.20569186,0.042309143
2017-12-27,0.048657406,0.002367543,0.34360248,0.58617616,-1.3636496,-0.964174,0.08300816,0.006890355
2017-12-28,0.20553845,0.042246055,0.34877834,0.59057456,-1.3738818,-0.97140867,0.34803134,0.12112582
2017-12-29,-0.37777823,0.1427164,0.34970716,0.59136045,-1.3757101,-0.9727014,-0.63882905,0.40810257
2018-01-02,0.7132164,0.50867766,0.34002247,0.58311445,-1.356527,-0.9591379,1.2231157,1.496012
2018-01-03,0.6304848,0.3975111,0.34785104,0.589789,-1.3720543,-0.9701165,1.0690007,1.1427625
2018-01-04,0.42061493,0.17691691,0.35583252,0.59651697,-1.3877059,-0.98118305,0.7051181,0.49719155
