date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5,std_resid,squared_std_resid
2022-03-07,-2.9922378,8.953487,1.9854672,1.4090661,-3.2779777,-2.3177073,-2.123561,4.509511
2022-03-08,-0.7610725,0.5792314,1.8984967,1.3778595,-3.2053804,-2.2663772,-0.55235857,0.3051
2022-03-09,2.6457858,7.0001826,1.9851272,1.4089454,-3.277697,-2.317509,1.8778483,3.526314
2022-03-10,-0.45257866,0.20482744,1.9036847,1.3797408,-3.209757,-2.2694716,-0.32801715,0.10759525
2022-03-11,-1.2796576,1.6375235,1.7607028,1.3269148,-3.0868654,-2.1825805,-0.9643857,0.93003976
2022-03-14,-0.7335204,0.53805214,1.9320991,1.3899996,-3.2336226,-2.286346,-0.52771264,0.27848062
2022-03-15,2.1752172,4.73157,2.2468452,1.4989481,-3.4870746,-2.4655502,1.4511625,2.1058724
2022-03-16,2.1931949,4.810104,2.1564445,1.4684838,-3.4162042,-2.4154408,1.4935098,2.2305715
2022-03-17,1.2433326,1.545876,2.0156474,1.419735,-3.3027973,-2.335256,0.8757498,0.76693773
2022-03-18,1.0893193,1.1866167,2.258986,1.5029924,-3.496483,-2.4722025,0.724767,0.5252873
2022-03-21,-0.029249493,0.0008555328,2.0670958,1.4377398,-3.344683,-2.3648715,-0.020344079,0.00041388153
2022-03-22,1.1633645,1.353417,1.5143656,1.2305956,-2.8627934,-2.0241497,0.94536704,0.89371884
2022-03-23,-1.2962089,1.6801574,1.3058417,1.1427343,-2.6583974,-1.8796306,-1.1343046,1.2866471
2022-03-24,1.4961928,2.2385929,1.3281082,1.1524358,-2.6809664,-1.8955882,1.2982874,1.6855501
2022-03-25,0.48716497,0.2373297,1.2278738,1.1080947,-2.5778136,-1.8226535,0.439642,0.1932851
2022-03-28,0.70879173,0.50238574,1.0424013,1.0209806,-2.375156,-1.6793636,0.69422644,0.48195034
2022-03-29,1.2294737,1.5116056,0.8771966,0.93658775,-2.178829,-1.5405498,1.312716,1.7232233
2022-03-30,-0.61938936,0.38364318,0.83451617,0.91351855,-2.125162,-1.5026042,-0.678026,0.45971927
