date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5,std_resid,squared_std_resid
2008-01-09,1.0455605,1.0931967,1.1768848,1.0848432,-2.5237224,-1.7844082,0.9637895,0.9288902
2008-01-10,0.6532528,0.4267392,1.4197284,1.1915236,-2.7718983,-1.9598818,0.54825,0.3005781
2008-01-11,-0.8101281,0.6563075,1.631895,1.2774564,-2.971808,-2.1012287,-0.6341728,0.40217513
2008-01-14,0.8030653,0.64491385,2.2757292,1.508552,-3.5094166,-2.481347,0.53234184,0.28338784
2008-01-15,-2.2258885,4.9545794,1.8943868,1.3763672,-3.2019088,-2.2639225,-1.6172199,2.6154003
2008-01-16,-0.8650237,0.748266,2.5298197,1.5905406,-3.7001507,-2.6162064,-0.54385513,0.2957784
2008-01-17,-2.6257517,6.8945723,2.6424236,1.6255534,-3.7816026,-2.6737974,-1.6152972,2.609185
2008-01-18,-1.0321411,1.0653152,2.599686,1.6123542,-3.7508967,-2.6520865,-0.6401454,0.40978616
2008-01-22,-1.0198057,1.0400037,3.030271,1.7407674,-4.04963,-2.8633075,-0.5858368,0.3432048
2008-01-23,2.3736806,5.6343594,1.5913742,1.2614968,-2.9346802,-2.0749774,1.8816383,3.5405626
2008-01-24,0.84062666,0.7066532,1.90396,1.3798406,-3.2099893,-2.2696357,0.6092201,0.37114912
2008-01-25,-1.4551182,2.117369,2.2453423,1.4984466,-3.485908,-2.4647253,-0.9710845,0.9430051
2008-01-28,1.640131,2.6900296,2.9058623,1.704659,-3.9656298,-2.8039145,0.9621461,0.9257251
2008-01-29,0.49420282,0.24423642,3.1040258,1.7618246,-4.098617,-2.8979435,0.28050625,0.07868376
2008-01-30,-0.73851293,0.54540133,3.4095776,1.8465042,-4.295611,-3.037229,-0.39995193,0.15996155
2008-01-31,1.8070141,3.2653,3.1784196,1.7828122,-4.1474414,-2.932465,1.0135751,1.0273345
2008-02-01,1.5960058,2.5472345,3.304242,1.8177574,-4.228736,-2.9899447,0.8780082,0.7708984
2008-02-04,-1.2689338,1.6101929,1.8783221,1.3705189,-3.1883037,-2.254303,-0.92587835,0.8572507
2008-02-05,-2.7138903,7.3652005,1.7805781,1.334383,-3.104239,-2.1948647,-2.0338166,4.1364098
2008-02-06,-0.80846816,0.6536208,1.6023434,1.2658371,-2.9447773,-2.0821166,-0.63868266,0.40791553
2008-02-07,0.65922314,0.43457514,1.3000865,1.1402134,-2.6525328,-1.8754841,0.5781577,0.33426636
2008-02-08,-0.64421636,0.4150147,1.5394516,1.2407464,-2.8864076,-2.040846,-0.5192168,0.26958606
2008-02-11,0.5097187,0.25981316,1.434043,1.1975154,-2.7858372,-1.9697374,0.4256469,0.18117529
2008-02-12,0.9228443,0.8516416,1.4267832,1.1944803,-2.7787766,-1.9647452,0.77259064,0.5968963
2008-02-13,1.0170895,1.034471,1.6381807,1.2799144,-2.977526,-2.1052718,0.7946543,0.63147545
2008-02-14,-0.883866,0.7812191,1.6046543,1.2667495,-2.9469,-2.0836174,-0.69774336,0.4868458
2008-02-15,-0.022141516,0.00049024675,1.5933852,1.2622936,-2.936534,-2.0762882,-0.017540703,0.00030767624
2008-02-19,0.28077298,0.07883347,1.8383231,1.3558477,-3.1541734,-2.230171,0.20708297,0.04288336
2008-02-20,0.29470256,0.0868496,1.5147328,1.2307448,-2.8631406,-2.024395,0.23945057,0.057336576
2008-02-21,-0.8348034,0.69689673,0.94323033,0.97120047,-2.25935,-1.5974826,-0.8595583,0.73884046
2008-02-22,0.6138402,0.37679982,0.8811585,0.93870044,-2.1837437,-1.5440248,0.6539256,0.42761868
2008-02-25,1.253023,1.5700667,0.86925286,0.9323373,-2.1689408,-1.5335584,1.343959,1.8062258
2008-02-26,0.7472155,0.558331,0.76901764,0.8769365,-2.0400593,-1.4424322,0.8520748,0.7260315
2008-02-27,-0.101237044,0.010248939,0.6964894,0.8345594,-1.9414754,-1.372728,-0.12130598,0.014715141
2008-02-28,-0.9815176,0.9633768,0.6656051,0.81584626,-1.8979422,-1.3419477,-1.2030668,1.4473698
2008-02-29,-2.2535834,5.078638,0.6772629,0.82295984,-1.9144908,-1.3536484,-2.738388,7.4987693
2008-03-03,-0.23943077,0.057327095,0.76513004,0.8747171,-2.0348964,-1.4387816,-0.27372366,0.07492464
2008-03-04,-0.3827319,0.14648372,0.9042862,0.95093966,-2.2122164,-1.5641565,-0.4024776,0.16198821
2008-03-05,0.62960327,0.39640027,1.0258602,1.0128475,-2.3562357,-1.665986,0.621617,0.38640773
2008-03-06,-2.091481,4.374293,1.1018344,1.049683,-2.4419277,-1.7265748,-1.9924883,3.9700096
2008-03-07,-1.0354097,1.0720732,1.3053083,1.1425009,-2.6578543,-1.8792467,-0.906266,0.82131803
2008-03-10,-1.3271245,1.7612593,1.4763881,1.2150671,-2.8266687,-1.9986075,-1.0922232,1.1929514
2008-03-11,3.5307567,12.466243,1.585159,1.2590309,-2.9289439,-2.0709217,2.8043447,7.864349
2008-03-12,-0.9396045,0.88285667,1.9947008,1.4123387,-3.2855911,-2.3230906,-0.66528267,0.44260103
2008-03-13,0.22050896,0.048624203,2.6258693,1.6204534,-3.7697382,-2.6654086,0.13607857,0.018517377
2008-03-14,-1.5616618,2.4387877,2.620785,1.6188838,-3.7660868,-2.662827,-0.96465343,0.93055624
2008-03-17,-1.0158722,1.0319964,2.3323593,1.5272064,-3.5528133,-2.512031,-0.6651833,0.44246882
2008-03-18,4.0703883,16.568062,2.7043204,1.6444818,-3.8256366,-2.7049317,2.47518,6.1265154
2008-03-19,-2.508219,6.2911625,2.9213183,1.7091864,-3.9761622,-2.8113616,-1.4674929,2.1535356
2008-03-20,1.835374,3.3685977,3.193012,1.7869002,-4.1569514,-2.9391892,1.0271274,1.0549906
2008-03-24,1.9790503,3.91664,3.0296705,1.7405949,-4.049229,-2.8630238,1.1369965,1.2927611
2008-03-25,0.09642484,0.00929775,3.1286461,1.768798,-4.1148396,-2.9094138,0.05451433,0.0029718122
2008-03-26,-1.231115,1.5156441,3.157546,1.7769486,-4.1338005,-2.9228203,-0.6928253,0.48000693
2008-03-27,-0.31579408,0.0997259,1.7216171,1.3121041,-3.0524106,-2.158219,-0.24067761,0.057925712
2008-03-28,-0.9610979,0.92370915,1.8822982,1.3719687,-3.1916766,-2.2566876,-0.7005246,0.49073476
2008-03-31,0.34921378,0.12195026,2.6065187,1.6144717,-3.7558227,-2.6555696,0.2163022,0.046786644
2008-04-01,3.4554904,11.940413,2.243044,1.4976795,-3.4841235,-2.4634635,2.3072295,5.323308
2008-04-02,0.06586193,0.004337794,2.4379504,1.5613937,-3.632345,-2.568264,0.042181503,0.0017792792
2008-04-03,0.24840808,0.061706573,1.5987473,1.2644157,-2.9414709,-2.0797787,0.19646077,0.038596835
2008-04-04,-0.10952921,0.011996648,1.5452878,1.2430961,-2.8918738,-2.044711,-0.08811001,0.007763373
