date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5,std_resid,squared_std_resid
2022-03-07,-2.9922378,8.953487,1.818415,1.3484862,-3.137048,-2.2180624,-2.2189608,4.9237866
2022-03-08,-0.7610725,0.5792314,2.7395577,1.6551609,-3.85048,-2.7224975,-0.45981786,0.21143246
2022-03-09,2.6457858,7.0001826,2.074494,1.4403104,-3.350663,-2.3690996,1.8369553,3.374405
2022-03-10,-0.45257866,0.20482744,2.1102817,1.4526808,-3.3794408,-2.3894472,-0.31154722,0.09706167
2022-03-11,-1.2796576,1.6375235,1.9995036,1.4140381,-3.2895443,-2.3258855,-0.9049669,0.8189651
2022-03-14,-0.7335204,0.53805214,2.0107365,1.4180044,-3.2987714,-2.3324096,-0.51729065,0.26758963
2022-03-15,2.1752172,4.73157,1.9882156,1.410041,-3.2802458,-2.319311,1.5426624,2.3798072
2022-03-16,2.1931949,4.810104,2.5465443,1.5957896,-3.7123616,-2.6248403,1.3743634,1.8888748
2022-03-17,1.2433326,1.545876,1.4606975,1.2085932,-2.8116083,-1.9879589,1.0287436,1.0583135
2022-03-18,1.0893193,1.1866167,1.0252373,1.01254,-2.3555202,-1.66548,1.0758284,1.1574068
2022-03-21,-0.029249493,0.0008555328,1.1507638,1.0727366,-2.4955585,-1.7644947,-0.02726624,0.0007434478
2022-03-22,1.1633645,1.353417,1.1234053,1.0599082,-2.465715,-1.7433938,1.0976088,1.204745
2022-03-23,-1.2962089,1.6801574,0.690472,0.83094645,-1.9330704,-1.3667853,-1.5599186,2.4333463
2022-03-24,1.4961928,2.2385929,0.6750183,0.82159495,-1.9113157,-1.3514034,1.8210833,3.3163445
2022-03-25,0.48716497,0.2373297,0.81444424,0.90246564,-2.099449,-1.4844239,0.53981555,0.29140082
2022-03-28,0.70879173,0.50238574,0.6656597,0.8158797,-1.89802,-1.3420026,0.8687454,0.75471854
2022-03-29,1.2294737,1.5116056,0.73142517,0.85523397,-1.9895717,-1.4067347,1.4375875,2.0666578
2022-03-30,-0.61938936,0.38364318,0.61015964,0.78112715,-1.8171735,-1.2848397,-0.79294306,0.62875867
2022-03-31,-1.5510932,2.4058902,0.5193696,0.720673,-1.6765361,-1.1854016,-2.1522844,4.632328
2022-04-01,0.28299934,0.08008862,0.7153868,0.8458054,-1.9676375,-1.391226,0.33459154,0.1119515
2022-04-04,0.8530143,0.72763336,0.7648713,0.87456924,-2.0345523,-1.4385383,0.97535366,0.95131475
2022-04-05,-1.2711785,1.6158948,0.68859845,0.8298183,-1.930446,-1.3649297,-1.5318757,2.3466432
2022-04-06,-1.0049605,1.0099456,1.0899383,1.0440011,-2.4287097,-1.717229,-0.9626049,0.92660815
2022-04-07,0.50263244,0.25263938,1.6074541,1.2678541,-2.9494696,-2.0854344,0.39644343,0.15716739
2022-04-08,-0.2677413,0.071685396,1.1174717,1.0571053,-2.4591947,-1.7387835,-0.25327778,0.06414963
2022-04-11,-1.7240176,2.9722369,1.1031115,1.0502912,-2.4433427,-1.7275752,-1.6414664,2.694412
2022-04-12,-0.3712084,0.13779567,1.8010396,1.3420281,-3.1220243,-2.20744,-0.27660254,0.07650896
2022-04-13,1.1388534,1.2969872,2.523384,1.5885164,-3.6954415,-2.612877,0.716929,0.51398724
2022-04-14,-1.2530074,1.5700276,1.1953611,1.0933257,-2.5434558,-1.7983607,-1.1460513,1.3134335
2022-04-18,0.041119307,0.0016907974,1.1346762,1.0652118,-2.478053,-1.7521174,0.038602002,0.0014901146
2022-04-19,1.6013603,2.564355,1.2110076,1.1004579,-2.5600479,-1.8100921,1.4551764,2.1175382
2022-04-20,-0.07417471,0.0055018878,0.6752092,0.8217112,-1.911586,-1.3515946,-0.09026859,0.008148418
2022-04-21,-1.5066507,2.2699964,0.69044936,0.8309328,-1.9330387,-1.3667628,-1.813204,3.287709
2022-04-22,-2.7822566,7.740952,0.8823374,0.93932813,-2.185204,-1.5450573,-2.9619646,8.773234
2022-04-25,0.5780797,0.33417615,1.2063543,1.0983416,-2.5551245,-1.8066111,0.5263205,0.27701327
2022-04-26,-2.9388611,8.636905,1.3857435,1.1771761,-2.738521,-1.9362824,-2.4965348,6.232686
2022-04-27,0.28078964,0.078842826,1.6271986,1.2756169,-2.9675286,-2.098203,0.22012067,0.048453107
2022-04-28,2.4945755,6.222907,2.7405312,1.655455,-3.851164,-2.722981,1.5068821,2.2706935
2022-04-29,-3.7655783,14.17958,2.3971415,1.5482705,-3.6018157,-2.5466783,-2.4321191,5.9152036
2022-05-02,0.6001405,0.36016864,2.8806295,1.6972418,-3.9483747,-2.7917142,0.35359752,0.1250312
2022-05-03,0.45736405,0.20918187,2.6135814,1.6166575,-3.7609076,-2.659165,0.28290722,0.08003649
2022-05-04,2.9998307,8.998984,10.134279,3.1834383,-7.4057846,-5.23629,0.9423241,0.88797474
2022-05-05,-3.6189892,13.097083,3.8467708,1.9613186,-4.5627093,-3.2260818,-1.8451817,3.4046955
2022-05-06,-0.59866893,0.3584045,2.3082519,1.5192932,-3.5344045,-2.4990149,-0.39404437,0.15527096
2022-05-09,-3.2541091,10.589227,1.7133192,1.3089381,-3.0450454,-2.1530116,-2.486068,6.1805344
2022-05-10,0.23079139,0.053264666,2.2979746,1.5159072,-3.5265274,-2.4934454,0.15224639,0.023178961
2022-05-11,-1.6013718,2.5643916,5.556458,2.357214,-5.4837,-3.877272,-0.67934936,0.46151555
2022-05-12,-0.10444603,0.010908973,6.977019,2.6414046,-6.144826,-4.3447237,-0.03954185,0.001563558
2022-05-13,2.3626573,5.5821495,8.793915,2.9654536,-6.8986764,-4.877737,0.7967271,0.6347741
2022-05-16,-0.40658695,0.16531295,4.026795,2.0066876,-4.6682534,-3.3007073,-0.20261596,0.041053228
2022-05-17,2.0361762,4.1460137,1.9348022,1.3909717,-3.235884,-2.2879448,1.4638517,2.1428618
2022-05-18,-4.1146593,16.930422,1.4015274,1.1838613,-2.7540731,-1.9472784,-3.4756262,12.079978
2022-05-19,-0.6143552,0.37743232,1.245931,1.1162128,-2.5966992,-1.8360068,-0.5503925,0.3029319
2022-05-20,0.04363839,0.001904309,1.3061587,1.1428729,-2.65872,-1.8798586,0.038183063,0.0014579464
2022-05-23,1.8537209,3.4362812,1.8910187,1.3751432,-3.1990614,-2.2619092,1.3480203,1.8171588
2022-05-24,-0.76629263,0.5872044,2.9544597,1.7188542,-3.9986527,-2.8272636,-0.44581595,0.19875187
2022-05-25,0.8796227,0.7737361,3.5554523,1.8855907,-4.38654,-3.1015205,0.46649715,0.2176196
2022-05-26,1.9784166,3.914132,2.505897,1.5830026,-3.6826146,-2.6038074,1.2497873,1.5619683
2022-05-27,2.4252734,5.8819513,1.5231812,1.2341722,-2.8711138,-2.0300326,1.9651012,3.8616228
2022-05-31,-0.56268626,0.31661582,1.8235251,1.3503796,-3.1414526,-2.2211766,-0.4166875,0.17362846
