date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5,std_resid,squared_std_resid
2019-04-26,1.1620954,1.3504658,2.830781,1.6824925,-3.9140627,-2.767454,0.69069874,0.47706476
2019-05-03,0.21106811,0.04454975,1.7361255,1.3176211,-3.065245,-2.1672938,0.16018878,0.025660446
2019-05-10,-2.0374274,4.1511106,1.8572984,1.3628273,-3.1704104,-2.2416513,-1.4950005,2.2350264
2019-05-17,-0.7875437,0.6202251,3.737065,1.933149,-4.497177,-3.179747,-0.40738904,0.16596584
2019-05-24,-1.0762792,1.1583768,4.407578,2.0994232,-4.8839884,-3.4532437,-0.5126547,0.26281485
2019-05-31,-2.6916852,7.245169,4.87516,2.2079766,-5.1365213,-3.6317983,-1.2190733,1.4861397
2019-06-07,4.399206,19.353014,8.160135,2.856595,-6.645434,-4.6986804,1.5400175,2.3716538
2019-06-14,0.55814886,0.31153014,4.5447745,2.1318476,-4.9594193,-3.5065773,0.26181462,0.0685469
2019-06-21,1.6253835,2.6418715,4.8731203,2.2075145,-5.1354465,-3.6310382,0.7362957,0.54213136
2019-06-28,0.14448349,0.02087548,5.1677046,2.2732587,-5.2883906,-3.7391777,0.06355788,0.0040396038
2019-07-05,1.8462946,3.408804,5.4459186,2.3336492,-5.4288797,-3.8385112,0.7911621,0.6259374
2019-07-12,0.7311321,0.5345541,4.579201,2.139907,-4.9781675,-3.5198336,0.3416654,0.116735235
2019-07-19,-1.164252,1.3554828,2.8169882,1.6783886,-3.9045157,-2.7607036,-0.69367254,0.4811816
2019-07-26,1.6155684,2.6100612,2.0954669,1.4475727,-3.3675575,-2.381045,1.1160533,1.2455751
2019-08-02,-3.1585016,9.976132,1.1724735,1.0828081,-2.5189884,-1.7810608,-2.916954,8.508621
2019-08-09,-0.3423701,0.11721728,4.6859875,2.164714,-5.0358777,-3.5606377,-0.1581595,0.025014427
2019-08-16,-0.9543937,0.91086733,5.2603464,2.2935445,-5.3355823,-3.7725449,-0.41612172,0.17315729
2019-08-23,-1.3944855,1.9445897,6.2545943,2.5009186,-5.8180065,-4.113645,-0.5575893,0.3109058
2019-08-30,2.6330855,6.9331393,8.237205,2.870053,-6.6767416,-4.720817,0.91743445,0.84168595
2019-09-06,1.8967447,3.5976405,5.463663,2.337448,-5.437717,-3.8447595,0.81145966,0.65846676
2019-09-13,1.0148432,1.0299067,3.3787272,1.8381314,-4.276133,-3.023457,0.5521059,0.30482092
2019-09-20,-0.9376627,0.87921137,3.662745,1.9138299,-4.4522343,-3.14797,-0.48994046,0.24004166
2019-09-27,-0.5095116,0.25960207,5.70371,2.3882442,-5.5558867,-3.928312,-0.2133415,0.0455146
2019-10-04,-0.35606,0.12677872,4.6277122,2.1512117,-5.0044665,-3.5384283,-0.16551602,0.027395552
2019-10-11,0.6535499,0.42712748,5.6869802,2.384739,-5.5477324,-3.9225464,0.27405512,0.07510621
2019-10-18,0.56878006,0.32351077,2.0419235,1.4289589,-3.3242555,-2.350428,0.3980381,0.15843432
