date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5,std_resid,squared_std_resid
2014-06-20,0.92803806,0.86125463,1.3606522,1.1664699,-2.7136147,-1.9186722,0.79559535,0.63297194
2014-06-27,0.41674194,0.17367384,1.1045727,1.0509865,-2.44496,-1.728719,0.39652452,0.15723169
2014-07-04,1.2081398,1.4596018,1.2018461,1.0962874,-2.5503457,-1.8032322,1.1020284,1.2144666
2014-07-11,-0.80548143,0.6488003,0.82822806,0.91007036,-2.1171403,-1.4969325,-0.885076,0.7833595
2014-07-18,0.5579482,0.31130615,1.4796026,1.2163892,-2.8297443,-2.000782,0.45869216,0.2103985
2014-07-25,0.0050084516,2.5084588e-05,1.242936,1.1148704,-2.5935764,-1.8337986,0.0044924067,2.0181718e-05
2014-08-01,-2.6755219,7.158417,1.4717101,1.2131406,-2.822187,-1.9954387,-2.2054508,4.864013
2014-08-08,0.38364214,0.14718129,3.6789427,1.918057,-4.4620676,-3.154923,0.20001602,0.04000641
2014-08-15,1.2751977,1.6261293,3.8486702,1.9618028,-4.5638356,-3.2268784,0.6500132,0.42251718
2014-08-22,1.7574234,3.088537,2.2459793,1.4986591,-3.4864025,-2.4650748,1.1726638,1.3751404
2014-08-29,0.76020753,0.5779155,1.062903,1.0309719,-2.398399,-1.6957978,0.7373698,0.54371417
2014-09-05,0.1990978,0.03963993,1.2532932,1.1195058,-2.6043599,-1.841423,0.17784438,0.031628624
2014-09-12,-0.9894278,0.97896737,1.2418845,1.1143987,-2.592479,-1.8330227,-0.887858,0.78829175
2014-09-19,0.7853405,0.61675966,1.6654556,1.2905253,-3.0022109,-2.1227252,0.6085433,0.3703249
2014-09-26,-0.93857896,0.8809305,1.2124692,1.1011218,-2.5615923,-1.8111842,-0.8523843,0.72655904
2014-10-03,-0.69977665,0.48968735,2.4237316,1.5568339,-3.621737,-2.5607638,-0.44948703,0.20203859
2014-10-10,-3.090222,9.549471,2.7879248,1.669708,-3.8843217,-2.7464252,-1.8507558,3.425297
2014-10-17,-1.0923054,1.1931311,7.2944703,2.7008276,-6.2830644,-4.442466,-0.4044336,0.16356654
2014-10-24,4.136718,17.112434,11.26296,3.3560333,-7.807301,-5.5201836,1.2326212,1.519355
2014-10-31,2.627679,6.9046974,8.593449,2.9314585,-6.819592,-4.82182,0.8963726,0.80348384
2014-11-07,0.8296596,0.688335,5.6104746,2.368644,-5.5102897,-3.8960726,0.35026774,0.12268749
2014-11-14,0.44162604,0.19503357,4.4512124,2.1097896,-4.9081044,-3.470295,0.20932232,0.043815833
2014-11-21,1.187581,1.4103485,5.100238,2.2583706,-5.2537556,-3.714689,0.5258574,0.276526
2014-11-28,0.25126216,0.06313267,5.163654,2.2723675,-5.2863173,-3.737712,0.11057285,0.012226355
2014-12-05,0.3853827,0.14851983,6.403357,2.5304856,-5.88679,-4.162278,0.15229595,0.023194056
2014-12-12,-3.4780746,12.097003,5.6799526,2.383265,-5.5443034,-3.920122,-1.4593738,2.129772
