target,freq,exog,regime,window_id,k,model,dist,mse,rmse,mae,qlike,var_1_hit_rate,var_1_exceptions,var_5_hit_rate,var_5_exceptions,n_fc
SPY,daily,no_exog,GFC,d_GFC_1,2,gjrGARCH,std,5.999344693119403,2.4493559751737606,1.5079413381906683,1.549303123498906,0.06666666666666667,4,0.1,6,60
SPY,daily,no_exog,GFC,d_GFC_2,2,gjrGARCH,std,10.803451925003218,3.286860496735938,1.956108859311151,1.8103541841924167,0.016666666666666666,1,0.1,6,60
SPY,daily,no_exog,GFC,d_GFC_3,2,gjrGARCH,std,4.375845620752869,2.0918521985916856,1.4320232936486044,1.380290313523864,0.05,3,0.06666666666666667,4,60
SPY,daily,no_exog,GFC,d_GFC_4,2,gjrGARCH,std,408.7278500957921,20.217018823154717,13.45383878356004,3.397294539330582,0.0,0,0.06666666666666667,4,60
SPY,daily,no_exog,GFC,d_GFC_5,2,gjrGARCH,std,67.9963533131744,8.245990135403655,5.045477347671637,2.618223133190822,0.016666666666666666,1,0.06666666666666667,4,60
SPY,daily,no_exog,OIL_CRASH,d_OIL_CRASH_1,2,gjrGARCH,std,0.791806112782441,0.889834879504305,0.5653309753041077,0.2565825253578739,0.016666666666666666,1,0.06666666666666667,4,60
SPY,daily,no_exog,OIL_CRASH,d_OIL_CRASH_2,2,gjrGARCH,std,0.4121277367103456,0.6419717569413358,0.501720582483285,0.22586851659894086,0.016666666666666666,1,0.1,6,60
SPY,daily,no_exog,OIL_CRASH,d_OIL_CRASH_3,2,gjrGARCH,std,0.6434173661268019,0.8021330102463069,0.5416162404313826,0.324647236614322,0.016666666666666666,1,0.05,3,60
SPY,daily,no_exog,OIL_CRASH,d_OIL_CRASH_4,2,gjrGARCH,std,2.1317730113114193,1.4600592492468993,1.0653052202693705,1.0639312219928887,0.0,0,0.11666666666666667,7,60
SPY,daily,no_exog,OIL_CRASH,d_OIL_CRASH_5,2,gjrGARCH,std,0.6603552996048028,0.8126224828324667,0.5532270171079048,0.30474993646809956,0.0,0,0.05,3,60
SPY,daily,no_exog,COVID,d_COVID_1,2,gjrGARCH,std,511.12506853457404,22.608075294782925,11.997052703348968,3.2457353874129358,0.016666666666666666,1,0.05,3,60
SPY,daily,no_exog,COVID,d_COVID_2,2,gjrGARCH,std,4.210942164075377,2.0520580313615344,1.1545770402719941,1.5491166621609103,0.016666666666666666,1,0.05,3,60
SPY,daily,no_exog,COVID,d_COVID_3,2,gjrGARCH,std,1.3296862694044256,1.1531202319812213,0.7578357955674705,0.804506737417022,0.03333333333333333,2,0.03333333333333333,2,60
SPY,daily,no_exog,ENERGY_22,d_ENERGY_22_1,2,gjrGARCH,std,16.751362055587357,4.092842784127844,2.9195982015920494,2.0681405751822557,0.03333333333333333,2,0.1,6,60
SPY,daily,no_exog,ENERGY_22,d_ENERGY_22_2,2,gjrGARCH,std,12.312535018517648,3.5089222018331565,2.197993614236815,1.9430579976167228,0.03333333333333333,2,0.06666666666666667,4,60
SPY,daily,no_exog,ENERGY_22,d_ENERGY_22_3,2,gjrGARCH,std,2.9513601938981435,1.7179523258513734,1.2096991503511092,1.2637094769754402,0.0,0,0.06666666666666667,4,60
SPY,daily,no_exog,ENERGY_22,d_ENERGY_22_4,2,gjrGARCH,std,0.28274054538808124,0.531733528553618,0.41913999342372804,0.1797789388153769,0.016666666666666666,1,0.03333333333333333,2,60
SPY,daily,no_exog,CALM_17_19,d_CALM_17_19_1,2,gjrGARCH,std,0.30643773992754675,0.5535681890495034,0.37344585745308795,-0.3461526084255156,0.03333333333333333,2,0.03333333333333333,2,60
SPY,daily,no_exog,CALM_17_19,d_CALM_17_19_2,2,gjrGARCH,std,0.05527979751429805,0.23511656154830532,0.1995432251058757,-0.8457768001333454,0.0,0,0.0,0,60
SPY,daily,no_exog,CALM_17_19,d_CALM_17_19_3,2,gjrGARCH,std,7.416170746503879,2.723264722076038,1.7824234905532965,1.7150201092243564,0.05,3,0.1,6,60
SPY,daily,no_exog,CALM_17_19,d_CALM_17_19_4,2,gjrGARCH,std,1.9268532163640752,1.3881113847109228,0.7837990246196612,0.5392164775453886,0.016666666666666666,1,0.016666666666666666,1,60
SPY,daily,no_exog,CALM_17_19,d_CALM_17_19_5,2,gjrGARCH,std,69.08465030292066,8.311717650577446,2.697784027815861,1.03430939906234,0.05,3,0.11666666666666667,7,60
SPY,daily,with_exog,GFC,d_GFC_1,2,gjrGARCH,std,5.545283605607188,2.3548425861630724,1.3854402136245063,1.5167205248860276,0.06666666666666667,4,0.1,6,60
SPY,daily,with_exog,GFC,d_GFC_2,2,gjrGARCH,std,10.91681020231781,3.304059654775896,1.9463815011609569,1.8295773573351857,0.016666666666666666,1,0.1,6,60
SPY,daily,with_exog,GFC,d_GFC_3,2,gjrGARCH,std,4.751120100877213,2.179706425387881,1.493637913849722,1.3952186132827404,0.05,3,0.06666666666666667,4,60
SPY,daily,with_exog,GFC,d_GFC_4,2,gjrGARCH,std,432.3761365381311,20.793656160909535,14.436712474776247,3.439669490684135,0.0,0,0.03333333333333333,2,60
SPY,daily,with_exog,GFC,d_GFC_5,2,gjrGARCH,std,69.02062376313405,8.307865174828853,4.922228316311053,2.6459060636682143,0.016666666666666666,1,0.06666666666666667,4,60
SPY,daily,with_exog,OIL_CRASH,d_OIL_CRASH_1,2,gjrGARCH,std,0.7963726147838387,0.8923971171983013,0.5713426698574213,0.26238814994225396,0.016666666666666666,1,0.06666666666666667,4,60
SPY,daily,with_exog,OIL_CRASH,d_OIL_CRASH_2,2,gjrGARCH,std,0.4088697409126398,0.6394292305741424,0.5005085196818427,0.2246308011221698,0.016666666666666666,1,0.1,6,60
SPY,daily,with_exog,OIL_CRASH,d_OIL_CRASH_3,2,gjrGARCH,std,0.6318625015742321,0.7948977931622606,0.5411496167242721,0.31137409764735474,0.016666666666666666,1,0.05,3,60
SPY,daily,with_exog,OIL_CRASH,d_OIL_CRASH_4,2,gjrGARCH,std,2.1240779038470206,1.4574216630224146,1.082511058862748,1.048246675158647,0.0,0,0.11666666666666667,7,60
SPY,daily,with_exog,OIL_CRASH,d_OIL_CRASH_5,2,gjrGARCH,std,0.6529679279218594,0.8080643092736243,0.5688648542744751,0.3130653722386759,0.0,0,0.0,0,60
SPY,daily,with_exog,COVID,d_COVID_1,2,gjrGARCH,std,483.2936841388256,21.983941505990813,11.68087840090676,3.090177560942463,0.016666666666666666,1,0.05,3,60
SPY,daily,with_exog,COVID,d_COVID_2,2,gjrGARCH,std,4.225909800257846,2.0557017780451146,1.1665530421078556,1.6071273686831844,0.016666666666666666,1,0.03333333333333333,2,60
SPY,daily,with_exog,COVID,d_COVID_3,2,gjrGARCH,std,1.3292712961290707,1.1529402829848,0.7633135863243594,0.7843359187508315,0.03333333333333333,2,0.03333333333333333,2,60
SPY,daily,with_exog,ENERGY_22,d_ENERGY_22_1,2,gjrGARCH,std,16.42142598549473,4.052335867804485,2.8882814921216644,2.064860078505361,0.03333333333333333,2,0.1,6,60
SPY,daily,with_exog,ENERGY_22,d_ENERGY_22_2,2,gjrGARCH,std,12.332105305031813,3.5117097409996476,2.2109360730721237,1.9290398353458604,0.03333333333333333,2,0.06666666666666667,4,60
SPY,daily,with_exog,ENERGY_22,d_ENERGY_22_3,2,gjrGARCH,std,2.9511575425724117,1.7178933443530222,1.2163754880111357,1.2602607769937424,0.0,0,0.06666666666666667,4,60
SPY,daily,with_exog,ENERGY_22,d_ENERGY_22_4,2,gjrGARCH,std,0.3300225240825208,0.5744758690167245,0.4861480541830064,0.23472043478360788,0.0,0,0.016666666666666666,1,60
SPY,daily,with_exog,CALM_17_19,d_CALM_17_19_1,2,gjrGARCH,std,0.3063289267628259,0.5534698968894568,0.37125705644387735,-0.33780395483494313,0.03333333333333333,2,0.03333333333333333,2,60
SPY,daily,with_exog,CALM_17_19,d_CALM_17_19_2,2,gjrGARCH,std,0.05475366396061241,0.23399500840960777,0.19837050658210387,-0.8498143989095139,0.0,0,0.0,0,60
SPY,daily,with_exog,CALM_17_19,d_CALM_17_19_3,2,gjrGARCH,std,7.366351869250626,2.714102405814973,1.7932608732959237,1.6551771968929765,0.05,3,0.08333333333333333,5,60
SPY,daily,with_exog,CALM_17_19,d_CALM_17_19_4,2,gjrGARCH,std,1.9212204150086865,1.3860809554310622,0.7955583566225476,0.5339958148225559,0.016666666666666666,1,0.016666666666666666,1,60
SPY,daily,with_exog,CALM_17_19,d_CALM_17_19_5,2,gjrGARCH,std,69.32034644629165,8.325884124000986,2.690513256657029,1.034085475982698,0.03333333333333333,2,0.11666666666666667,7,60
