date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5,std_resid,squared_std_resid
2008-04-28,0.0215266,0.0004633945,1.3050747,1.1423987,-2.6576169,-1.8790786,0.018843332,0.00035507118
2008-04-29,-0.39466378,0.1557595,1.194178,1.0927845,-2.542197,-1.7974706,-0.36115426,0.1304324
2008-04-30,-0.5913829,0.3497338,1.2660096,1.125171,-2.617539,-1.8507415,-0.5255938,0.27624887
2008-05-01,2.047471,4.192138,1.0742586,1.0364645,-2.411177,-1.7048323,1.9754378,3.9023542
2008-05-02,0.2759905,0.07617074,0.51927817,0.7206096,-1.6763886,-1.1852973,0.38299584,0.14668582
2008-05-05,-0.4817292,0.23206304,0.49699244,0.7049769,-1.6400216,-1.1595838,-0.68332624,0.46693477
2008-05-06,0.8626242,0.74412054,0.5348909,0.73136234,-1.7014031,-1.202984,1.1794759,1.3911633
2008-05-07,-1.7971518,3.2297542,0.38789892,0.6228153,-1.4488851,-1.02444,-2.8855293,8.32628
2008-05-08,-0.25834852,0.06674395,1.461689,1.2090033,-2.8125622,-1.9886335,-0.2136872,0.045662217
2008-05-09,-0.1869538,0.03495172,0.726541,0.8523737,-1.9829178,-1.40203,-0.21933313,0.04810702
2008-05-12,1.1167881,1.2472159,0.6955991,0.8340258,-1.9402341,-1.3718504,1.3390331,1.7930098
2008-05-13,0.014273805,0.00020374151,0.6267585,0.7916808,-1.841725,-1.302199,0.018029748,0.0003250718
2008-05-14,0.20621288,0.042523757,0.6549442,0.80928624,-1.8826813,-1.3311573,0.25480834,0.06492729
2008-05-15,1.2424948,1.5437936,0.5647662,0.7515093,-1.7482721,-1.2361227,1.6533326,2.7335086
2008-05-16,0.0911809,0.008313956,0.5096246,0.71387994,-1.6607331,-1.174228,0.12772581,0.016313883
2008-05-19,0.27300033,0.07452918,0.5475638,0.7399755,-1.7214404,-1.2171514,0.36893156,0.1361105
2008-05-20,-0.81422627,0.66296446,0.46761715,0.6838254,-1.5908157,-1.1247926,-1.1906933,1.4177505
2008-05-21,-1.7058822,2.9100337,0.57948565,0.7612395,-1.7709079,-1.2521275,-2.240927,5.021754
2008-05-22,0.01434257,0.00020570931,1.0359488,1.0178157,-2.3677933,-1.6741579,0.01409152,0.00019857092
2008-05-23,-1.3495193,1.821202,0.52613294,0.7253502,-1.6874169,-1.1930948,-1.8605071,3.4614868
2008-05-27,0.73835325,0.54516554,0.9676567,0.9836954,-2.2884176,-1.6180348,0.75059134,0.56338733
2008-05-28,0.46049678,0.2120573,0.530376,0.7282692,-1.6942075,-1.1978962,0.6323167,0.3998244
2008-05-29,0.501254,0.25125557,0.5398975,0.73477715,-1.7093472,-1.2086009,0.6821851,0.46537653
2008-05-30,0.2496955,0.062347844,0.52322567,0.7233434,-1.6827483,-1.189794,0.34519637,0.11916053
2008-06-02,-1.0384655,1.0784105,0.48682266,0.6977268,-1.6231552,-1.1476585,-1.4883555,2.215202
2008-06-03,-0.584899,0.34210682,0.71866775,0.84774274,-1.9721445,-1.3944126,-0.68994874,0.47602925
2008-06-04,-0.05068592,0.0025690626,0.6357357,0.7973304,-1.8548678,-1.3114917,-0.06356953,0.004041085
2008-06-05,1.9799132,3.9200563,0.56909674,0.754385,-1.7549618,-1.2408528,2.6245396,6.8882084
2008-06-06,-3.2413013,10.506034,0.60586303,0.77837205,-1.8107641,-1.280308,-4.1642056,17.340609
2008-06-09,0.24184778,0.058490343,0.9104027,0.95415026,-2.2196853,-1.5694375,0.2534693,0.06424668
2008-06-10,-0.49899113,0.24899216,1.3483213,1.1611724,-2.7012908,-1.9099586,-0.42973045,0.18466826
2008-06-11,-1.4821613,2.1968017,2.02689,1.4236889,-3.3119955,-2.3417597,-1.041071,1.0838289
2008-06-12,0.38005963,0.14444533,1.6442094,1.2822673,-2.9829998,-2.109142,0.29639655,0.08785091
2008-06-13,1.2564529,1.5786737,1.5118216,1.2295616,-2.8603878,-2.0224488,1.0218707,1.0442199
2008-06-16,0.05874903,0.0034514489,0.9231602,0.9608123,-2.2351835,-1.5803955,0.06114517,0.003738732
2008-06-17,-0.4856482,0.23585418,1.0508983,1.0251334,-2.384817,-1.6861943,-0.4737415,0.22443101
2008-06-18,-0.97846144,0.9573869,1.1998795,1.0953901,-2.5482583,-1.8017563,-0.89325386,0.79790246
2008-06-19,0.12657551,0.01602136,1.3990175,1.1828007,-2.7516057,-1.9455339,0.1070134,0.011451867
2008-06-20,-1.6364673,2.678025,1.5306793,1.2372062,-2.878172,-2.0350232,-1.3227118,1.7495666
2008-06-23,-0.09886945,0.009775167,1.0746162,1.036637,-2.4115782,-1.705116,-0.095375195,0.009096428
2008-06-24,-0.19798425,0.03919776,2.0266073,1.4235896,-3.3117645,-2.3415964,-0.13907397,0.01934157
2008-06-25,0.47151834,0.22232951,1.8577685,1.3629998,-3.1708117,-2.241935,0.3459416,0.11967559
2008-06-26,-2.753616,7.582402,1.3122642,1.145541,-2.6649268,-1.8842472,-2.4037693,5.7781067
2008-06-27,-0.5474196,0.29966822,0.8547376,0.9245202,-2.1507556,-1.5207003,-0.5921121,0.35059676
2008-06-30,0.35227,0.12409416,1.5173434,1.231805,-2.8656068,-2.0261388,0.2859787,0.081783816
2008-07-01,0.31208318,0.09739591,1.3388083,1.1570688,-2.6917446,-1.9032089,0.26971877,0.072748214
2008-07-02,-1.728545,2.9878676,1.3153919,1.1469053,-2.6681006,-1.8864913,-1.5071384,2.271466
2008-07-03,0.10294641,0.010597963,0.83252406,0.91242754,-2.122624,-1.5008097,0.11282694,0.0127299195
2008-07-07,-1.0265137,1.0537302,0.96795166,0.98384535,-2.2887664,-1.6182816,-1.0433689,1.0886188
2008-07-08,1.7601082,3.0979807,0.8689805,0.93219125,-2.168601,-1.5333182,1.8881407,3.5650752
2008-07-09,-1.9442763,3.7802103,0.7913193,0.8895613,-2.069429,-1.4631981,-2.1856575,4.7770987
2008-07-10,0.40788734,0.16637209,1.8255677,1.3511357,-3.1432116,-2.2224205,0.3018848,0.09113443
2008-07-11,-1.1720557,1.3737147,3.1324606,1.7698759,-4.117347,-2.9111867,-0.6622248,0.4385417
2008-07-14,-0.9085124,0.8253948,3.2231226,1.7953057,-4.1765056,-2.953015,-0.50604886,0.25608546
2008-07-15,-1.4197549,2.015704,3.1427047,1.7727675,-4.124074,-2.9159431,-0.80086917,0.6413914
2008-07-16,2.425128,5.881246,2.902731,1.7037402,-3.9634924,-2.8024032,1.4234141,2.0261078
2008-07-17,0.9953322,0.9906862,1.931054,1.3896236,-3.232748,-2.2857275,0.71626025,0.51302874
2008-07-18,0.6210871,0.38574913,2.8795416,1.6969212,-3.947629,-2.791187,0.3660082,0.13396199
2008-07-21,0.05554611,0.0030853704,3.008408,1.7344763,-4.034995,-2.8529596,0.032024715,0.0010255824
2008-07-22,1.128069,1.2725399,2.9794085,1.7260963,-4.0155005,-2.8391757,0.65353775,0.4271116
