date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5,std_resid,squared_std_resid
2020-03-12,-10.056879,101.14082,20.009062,4.473149,-10.4061,-7.357675,-2.2482774,5.0547514
2020-03-13,8.2028,67.28592,18.954235,4.3536463,-10.128096,-7.161111,1.8841218,3.5499148
2020-03-16,-11.588649,134.29678,4.6077256,2.1465614,-4.9936485,-3.5307791,-5.3987036,29.146
2020-03-17,5.258503,27.651857,19.142485,4.3752127,-10.178267,-7.196584,1.2018851,1.4445277
2020-03-18,-5.195988,26.998297,20.905481,4.5722513,-10.636647,-7.5206842,-1.1364179,1.2914456
2020-03-19,0.21225004,0.045050077,20.991701,4.5816703,-10.658559,-7.5361767,0.046325907,0.0021460897
2020-03-20,-4.4050055,19.404076,7.3107843,2.7038462,-6.2900867,-4.447431,-1.6291627,2.654171
2020-03-23,-2.5900657,6.70844,20.928387,4.574755,-10.642472,-7.5248027,-0.56616485,0.32054263
2020-03-24,8.6731,75.22267,20.239641,4.498849,-10.465887,-7.3999476,1.9278488,3.7166011
2020-03-25,1.4859166,2.207948,2.0406418,1.4285103,-3.323212,-2.3496902,1.0401862,1.0819873
2020-03-26,5.6748652,32.204094,20.56018,4.5343337,-10.548437,-7.458315,1.2515323,1.5663332
2020-03-27,-3.0238287,9.143539,18.612307,4.3141985,-10.036326,-7.096225,-0.7009016,0.4912631
2020-03-30,3.1959462,10.214071,20.073229,4.4803157,-10.422772,-7.3694634,0.71333057,0.5088405
2020-03-31,-1.5017463,2.2552419,16.248777,4.0309772,-9.377455,-6.6303673,-0.3725514,0.13879456
2020-04-01,-4.6049175,21.205269,18.228533,4.269489,-9.932316,-7.022684,-1.0785642,1.1633006
2020-04-02,2.281305,5.204352,18.257364,4.272864,-9.940167,-7.0282354,0.5339054,0.28505495
2020-04-03,-1.4559543,2.119803,3.801007,1.9496171,-4.5354877,-3.2068348,-0.7467899,0.5576951
2020-04-06,6.5006704,42.258717,6.037778,2.457189,-5.7162766,-4.041716,2.645572,6.999051
2020-04-07,0.10192179,0.010388052,14.042924,3.7473888,-8.71773,-6.163906,0.027198082,0.00073973567
2020-04-08,3.3017292,10.901415,18.70416,4.3248305,-10.06106,-7.1137133,0.7634355,0.5828337
2020-04-09,1.5102568,2.2808754,2.4198256,1.5555788,-3.6188173,-2.5586994,0.97086483,0.9425785
2020-04-13,-0.91718006,0.84121925,18.058523,4.249532,-9.88589,-6.989858,-0.21583083,0.04658295
2020-04-14,2.906607,8.448363,18.003918,4.2431026,-9.870933,-6.9792824,0.68501925,0.46925136
2020-04-15,-2.1476989,4.6126113,18.54502,4.3063927,-10.0181675,-7.0833855,-0.49872342,0.24872504
2020-04-16,0.4812817,0.2316321,17.316584,4.1613197,-9.680677,-6.844762,0.115656026,0.013376316
2020-04-17,2.6656618,7.105753,12.760607,3.572199,-8.310178,-5.8757443,0.7462243,0.5568507
2020-05-22,0.18970343,0.035987392,0.15506178,0.39377886,-0.9160666,-0.6477086,0.4817512,0.23208421
2020-05-26,1.2245327,1.4994804,0.23054732,0.48015344,-1.1170039,-0.7897821,2.5502946,6.5040026
2020-05-27,1.4769404,2.1813529,0.71949464,0.8482303,-1.9732788,-1.3952147,1.7412021,3.0317848
2020-05-28,-0.18465354,0.03409693,0.24120711,0.4911284,-1.1425356,-0.8078343,-0.3759781,0.14135954
2020-05-29,0.44458467,0.19765553,1.2918854,1.1366113,-2.6441534,-1.8695593,0.39114925,0.15299773
2020-06-01,0.4033468,0.16268866,4.500491,2.121436,-4.9351983,-3.489452,0.19012913,0.03614909
2020-06-02,0.8246286,0.6800123,0.7066894,0.84064823,-1.9556402,-1.3827432,0.9809437,0.96225053
2020-06-03,1.3220563,1.747833,1.609356,1.2686039,-2.951214,-2.0866678,1.0421348,1.0860449
2020-06-04,-0.263038,0.069189005,0.50906026,0.7134846,-1.6598133,-1.1735777,-0.3686667,0.13591515
2020-06-05,2.5306447,6.4041624,0.6060544,0.77849495,-1.81105,-1.2805102,3.2506886,10.566976
2020-06-08,1.2015193,1.4436486,0.3189212,0.5647311,-1.313761,-0.9289,2.1275952,4.5266614
2020-06-09,-0.74844885,0.5601757,0.44351926,0.6659724,-1.5492835,-1.0954272,-1.1238437,1.2630246
2020-06-10,-0.5595512,0.31309754,1.0975964,1.0476624,-2.437227,-1.7232512,-0.5340949,0.2852574
2020-06-11,-5.9377337,35.25668,1.1772845,1.0850275,-2.5241513,-1.7847114,-5.472427,29.947456
2020-06-12,1.1904166,1.4170914,0.15058684,0.3880552,-0.9027514,-0.638294,3.0676475,9.41046
2020-06-15,0.92926055,0.8635251,5.094419,2.257082,-5.2507577,-3.7125695,0.4117088,0.16950414
2020-06-16,1.9064757,3.634649,14.063871,3.7501829,-8.72423,-6.168502,0.50836873,0.25843877
2020-06-17,-0.41625136,0.1732652,2.0319278,1.425457,-3.3161087,-2.3446681,-0.29201257,0.08527134
2020-06-18,0.038489647,0.001481453,1.8611803,1.3642508,-3.1737218,-2.2439928,0.02821303,0.00079597504
2020-06-19,-0.5731336,0.3284821,13.189286,3.6317058,-8.448611,-5.973624,-0.15781388,0.02490522
2020-06-22,0.63944924,0.40889534,18.065722,4.250379,-9.88786,-6.9912515,0.15044522,0.022633765
2020-06-23,0.45935994,0.21101159,6.615958,2.5721505,-5.9837165,-4.230811,0.17858984,0.03189433
2020-06-24,-2.5839946,6.6770277,9.248167,3.04108,-7.0746098,-5.0021315,-0.84969634,0.72198385
2020-06-25,1.0663466,1.1370951,1.1251155,1.0607146,-2.467591,-1.7447202,1.0053097,1.0106475
2020-06-26,-2.4038029,5.7782674,3.765191,1.94041,-4.5140686,-3.1916904,-1.2388119,1.5346549
2020-06-29,1.4590449,2.1288123,3.0336444,1.741736,-4.0518837,-2.8649008,0.8376958,0.70173424
2020-06-30,1.2727939,1.6200042,1.8220664,1.3498394,-3.140196,-2.2202883,0.9429224,0.8891027
2020-07-01,0.6980575,0.48728424,1.5834483,1.2583514,-2.9273632,-2.069804,0.55473965,0.30773607
2020-07-02,0.54917026,0.301588,5.1685815,2.2734516,-5.2888393,-3.739495,0.24155793,0.05835023
