date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5,std_resid,squared_std_resid
2015-10-27,-0.19343145,0.037415724,0.5090671,0.7134894,-1.6598245,-1.1735857,-0.27110627,0.073498614
2015-10-28,1.1310657,1.2793097,0.5336928,0.7305428,-1.6994966,-1.201636,1.5482539,2.3970902
2015-10-29,-0.05747403,0.0033032638,0.369747,0.6080683,-1.4145783,-1.0001833,-0.094519034,0.008933848
2015-10-30,-0.4319061,0.18654288,0.2707602,0.5203462,-1.2105063,-0.8558934,-0.830036,0.6889597
2015-11-02,1.1761589,1.3833498,0.3663566,0.605274,-1.408078,-0.99558717,1.9431841,3.7759645
2015-11-03,0.28951114,0.0838167,0.31738085,0.56336564,-1.3105844,-0.926654,0.51389563,0.26408872
2015-11-04,-0.30378038,0.09228252,0.2883001,0.53693587,-1.2490996,-0.8831809,-0.5657666,0.3200918
2015-11-05,-0.09988989,0.00997799,0.3979543,0.6308362,-1.4675444,-1.0376332,-0.15834521,0.025073204
2015-11-06,-0.052373007,0.0027429315,0.44572175,0.66762394,-1.5531255,-1.0981436,-0.078446865,0.0061539104
2015-11-09,-0.9375113,0.87892747,0.38512573,0.62058496,-1.4436965,-1.0207714,-1.5106897,2.2821834
2015-11-10,0.23041195,0.053089663,0.5571064,0.7463956,-1.7363758,-1.2277114,0.3086995,0.09529538
2015-11-11,-0.39394256,0.15519075,0.49829835,0.7059025,-1.6421748,-1.1611063,-0.55806935,0.3114414
2015-11-12,-1.4058173,1.9763222,0.49977648,0.7069487,-1.6446086,-1.1628271,-1.9885705,3.9544125
2015-11-13,-1.1291957,1.2750827,0.5937589,0.7705575,-1.7925848,-1.2674543,-1.4654268,2.1474757
2015-11-16,1.509267,2.277887,0.8304739,0.9113034,-2.1200087,-1.4989606,1.656163,2.7428758
2015-11-17,-0.07294321,0.0053207115,0.6274141,0.79209477,-1.842688,-1.3028799,-0.092089,0.008480383
2015-11-18,1.5741262,2.4778736,0.8155806,0.903095,-2.100913,-1.4854591,1.7430351,3.0381713
2015-11-19,-0.086266465,0.0074419035,0.55873984,0.74748904,-1.7389195,-1.2295101,-0.11540834,0.013319084
2015-11-20,0.36375323,0.13231641,0.54441434,0.7378444,-1.7164828,-1.213646,0.4929945,0.24304357
2015-11-23,-0.11475718,0.013169212,0.5778258,0.7601485,-1.7683699,-1.2503331,-0.1509668,0.022790972
2015-11-24,0.13385178,0.017916303,0.44365838,0.66607684,-1.5495265,-1.0955989,0.20095547,0.0403831
2015-11-25,-0.014314107,0.00020489363,0.39919692,0.6318203,-1.4698339,-1.0392519,-0.022655344,0.0005132646
2015-11-27,0.11455084,0.0131218955,0.4852963,0.69663215,-1.6206087,-1.1458579,0.1644352,0.027038932
2015-11-30,-0.4159694,0.17303056,0.4580021,0.6767585,-1.5743757,-1.1131687,-0.61464965,0.3777942
2015-12-01,0.9490331,0.9006638,0.49250138,0.70178443,-1.6325947,-1.1543326,1.3523142,1.8287538
2015-12-02,-1.0257361,1.0521344,0.38991287,0.62443006,-1.4526415,-1.027096,-1.6426758,2.6983836
2015-12-03,-1.4102218,1.9887255,0.43284672,0.6579109,-1.5305295,-1.082167,-2.1434846,4.5945263
2015-12-04,1.9315742,3.730979,0.3646615,0.6038721,-1.4048166,-0.99328125,3.1986477,10.231347
2015-12-07,-0.60772777,0.3693331,0.7332273,0.85628694,-1.9920213,-1.4084667,-0.7097244,0.5037088
2015-12-08,-0.6742281,0.4545835,0.59543806,0.7716463,-1.7951177,-1.2692453,-0.8737527,0.7634438
2015-12-09,-0.78099805,0.6099579,0.6909966,0.83126205,-1.9338046,-1.3673043,-0.9395329,0.882722
2015-12-10,0.2577619,0.06644119,0.75492954,0.8688668,-2.0212865,-1.4291587,0.29666445,0.0880098
2015-12-11,-1.9571311,3.8303626,1.035869,1.0177765,-2.367702,-1.6740934,-1.9229479,3.6977286
2015-12-14,0.5039823,0.25399813,1.1694115,1.0813934,-2.515697,-1.7787337,0.46604902,0.21720168
2015-12-15,1.0442882,1.0905379,1.324903,1.1510444,-2.6777296,-1.8932995,0.9072527,0.82310754
2015-12-16,1.4526182,2.1100996,0.9556686,0.97758305,-2.2741983,-1.607981,1.4859282,2.2079825
2015-12-17,-1.5355221,2.3578281,1.3039746,1.1419171,-2.6564963,-1.8782865,-1.3446879,1.8081857
2015-12-18,-1.7976116,3.2314079,0.6745574,0.82131445,-1.9106631,-1.350942,-2.1887007,4.7904105
2015-12-21,0.82152987,0.67491126,0.85346115,0.9238296,-2.149149,-1.5195645,0.88926554,0.7907932
2015-12-22,0.9033559,0.81605184,1.1906536,1.0911708,-2.5384429,-1.7948161,0.82787764,0.6853814
2015-12-23,1.2307565,1.5147618,0.67084557,0.8190516,-1.905399,-1.3472201,1.5026605,2.2579887
