date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5,std_resid,squared_std_resid
2022-03-07,1.454941,2.1168535,1.389652,1.178835,-2.7423804,-1.9390111,1.2342193,1.5232973
2022-03-08,2.2906282,5.2469773,0.4915467,0.7011039,-1.6310116,-1.1532133,3.2671735,10.674423
2022-03-09,-2.692659,7.250412,0.046810027,0.21635625,-0.50331986,-0.35587436,-12.445487,154.89015
2022-03-10,0.6124493,0.37509415,1.5534286,1.2463661,-2.899481,-2.0500898,0.49138793,0.2414621
2022-03-11,-0.7737189,0.5986409,5.452658,2.3350928,-5.432238,-3.8408856,-0.33134395,0.10978881
2022-03-14,-1.171917,1.3733894,7.940988,2.817976,-6.5555925,-4.635158,-0.4158719,0.17294943
2022-03-15,-1.599786,2.5593154,9.173705,3.0288124,-7.046071,-4.981953,-0.52818924,0.27898386
2022-03-16,-1.0686926,1.1421038,9.119281,3.0198147,-7.0251393,-4.967153,-0.35389343,0.12524056
2022-03-17,1.7714276,3.137956,9.312335,3.051612,-7.0991106,-5.019455,0.58048916,0.33696768
2022-03-18,-0.7182949,0.5159476,7.1853795,2.6805558,-6.235905,-4.409122,-0.26796493,0.0718052
2022-03-21,0.02074385,0.00043030735,6.5109024,2.551647,-5.9360185,-4.197086,0.008129593,6.609028e-05
2022-03-22,-0.41046607,0.1684824,5.447308,2.333947,-5.4295726,-3.839001,-0.17586778,0.030929476
2022-03-23,0.8244168,0.67966306,5.4232035,2.3287773,-5.4175463,-3.8304977,0.35401273,0.12532501
2022-03-24,1.2826608,1.6452188,3.9468179,1.98666,-4.621662,-3.2677648,0.6456368,0.41684687
2022-03-25,-0.39842352,0.15874131,3.4442675,1.8558738,-4.317408,-3.0526407,-0.21468244,0.046088554
2022-03-28,-0.7294466,0.53209233,3.8497596,1.9620805,-4.5644817,-3.2273352,-0.371772,0.13821441
2022-03-29,-1.4331939,2.0540447,4.6430883,2.1547828,-5.012774,-3.5443022,-0.6651222,0.44238755
2022-03-30,1.1182017,1.2503752,4.0609655,2.0151837,-4.6880183,-3.3146822,0.55488825,0.30790097
2022-03-31,0.8087175,0.654024,2.624519,1.6200367,-3.768769,-2.6647232,0.499197,0.24919765
2022-04-01,-1.5562694,2.4219744,1.6713063,1.29279,-3.0074794,-2.1264503,-1.2038068,1.4491507
2022-04-04,0.52490705,0.27552742,0.36558312,0.6046347,-1.4065906,-0.99453557,0.86813915,0.75366557
2022-04-05,-0.3270908,0.10698839,1.0868555,1.0425236,-2.4252725,-1.7147987,-0.31374905,0.098438464
2022-04-06,-0.23429577,0.054894507,1.152846,1.0737066,-2.4978151,-1.7660902,-0.2182121,0.04761652
2022-04-07,0.7995486,0.639278,0.8049195,0.89717305,-2.0871365,-1.4757183,0.89118665,0.79421365
2022-04-08,0.40253586,0.16203512,0.7082035,0.84154826,-1.957734,-1.3842237,0.47832772,0.2287974
2022-04-11,0.13896774,0.019312032,0.47869354,0.6918768,-1.6095462,-1.1380361,0.20085618,0.040343206
2022-04-12,1.4196912,2.0155232,0.6869817,0.8288436,-1.9281785,-1.3633263,1.7128578,2.933882
2022-04-13,0.45028153,0.20275345,0.8025095,0.89582896,-2.0840096,-1.4735075,0.5026423,0.25264925
2022-04-14,-0.5111464,0.26127067,0.8255185,0.9085805,-2.1136742,-1.4944819,-0.56257695,0.31649283
2022-04-18,0.6070128,0.36846456,1.1637702,1.0787818,-2.5096219,-1.7744381,0.5626836,0.3166128
2022-04-19,-1.3812271,1.9077884,1.0293776,1.0145825,-2.360272,-1.6688397,-1.3613749,1.8533415
2022-04-20,-0.17399709,0.030274987,0.8001469,0.8945093,-2.0809398,-1.4713368,-0.1945168,0.037836783
2022-04-21,-0.37976155,0.14421883,2.123031,1.4570624,-3.389634,-2.3966544,-0.26063508,0.067930646
2022-04-22,-0.7172571,0.5144577,3.1207712,1.7665704,-4.1096573,-2.9057498,-0.40601668,0.16484955
2022-04-25,-1.976951,3.9083352,3.7976584,1.9487581,-4.533489,-3.2054217,-1.0144671,1.0291436
2022-04-26,0.43219766,0.18679482,1.3971674,1.1820184,-2.749786,-1.9442472,0.36564377,0.13369536
2022-04-27,-0.8185296,0.6699907,2.016118,1.4199008,-3.303183,-2.3355289,-0.5764696,0.3323172
2022-04-28,0.14835624,0.022009576,1.8040794,1.3431603,-3.1246579,-2.209302,0.11045312,0.012199892
2022-04-29,1.0847973,1.1767851,1.4187523,1.191114,-2.7709453,-1.959208,0.9107418,0.82945067
2022-05-02,-2.519292,6.3468328,1.470063,1.2124616,-2.8206074,-1.9943218,-2.0778325,4.3173876
2022-05-03,0.37527516,0.14083146,0.85731006,0.9259104,-2.1539898,-1.5229871,0.40530396,0.1642713
2022-05-04,-0.09636752,0.0092867,2.1804607,1.4766383,-3.4351742,-2.4288538,-0.06526142,0.0042590536
2022-05-05,0.37423193,0.14004955,1.6467185,1.2832453,-2.985275,-2.1107507,0.29162928,0.08504764
2022-05-06,0.38346612,0.14704627,1.2861593,1.1340896,-2.6382868,-1.8654113,0.33812684,0.114329755
2022-05-09,-1.2893727,1.6624819,1.095134,1.0464865,-2.4344916,-1.721317,-1.2320968,1.5180625
2022-05-10,-0.9304882,0.86580837,0.67083335,0.8190442,-1.9053817,-1.3472078,-1.136066,1.2906458
2022-05-11,0.68788093,0.47318017,0.8258823,0.9087807,-2.11414,-1.4948112,0.7569273,0.572939
2022-05-12,-1.5667782,2.454794,1.1096914,1.0534189,-2.4506187,-1.7327198,-1.4873269,2.2121413
2022-05-13,-0.90329015,0.8159331,0.43931022,0.66280484,-1.5419146,-1.0902169,-1.3628297,1.8573047
2022-05-16,0.3369318,0.113523036,0.49880788,0.7062633,-1.6430141,-1.1616998,0.47706258,0.22758871
2022-05-17,0.2588294,0.06699266,0.64529,0.8032994,-1.8687539,-1.3213099,0.3222079,0.10381793
2022-05-18,-0.12657478,0.016021175,0.7591137,0.8712713,-2.02688,-1.4331137,-0.14527597,0.021105107
2022-05-19,1.383628,1.9144264,1.1719487,1.0825658,-2.5184245,-1.7806622,1.2781006,1.6335412
2022-05-20,0.032587435,0.0010619409,0.6641756,0.8149697,-1.895903,-1.3405058,0.03998607,0.0015988859
2022-05-23,0.3252388,0.10578027,0.4854418,0.6967365,-1.6208515,-1.1460296,0.46680313,0.21790516
2022-05-24,0.93188894,0.86841697,0.9447049,0.9719593,-2.2611153,-1.5987307,0.9587736,0.91924685
2022-05-25,-1.0185212,1.0373855,0.6788748,0.8239386,-1.9167678,-1.3552583,-1.2361615,1.5280951
