date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5,std_resid,squared_std_resid
2008-10-21,-2.7677639,7.6605167,7.0109644,2.6478226,-6.159756,-4.3552804,-1.0452981,1.0926481
2008-10-22,-4.37578,19.147451,7.4502845,2.729521,-6.3498154,-4.4896626,-1.6031312,2.5700295
2008-10-23,-2.7652805,7.646776,5.290351,2.3000762,-5.350777,-3.7832887,-1.202256,1.4454194
2008-10-24,2.190879,4.799951,6.267221,2.5034418,-5.8238764,-4.1177955,0.8751468,0.76588196
2008-10-27,1.7134001,2.93574,8.166662,2.8577373,-6.648091,-4.7005596,0.5995653,0.3594786
2008-10-28,-0.32410893,0.1050466,9.692564,3.1132884,-7.242592,-5.1209035,-0.10410501,0.010837853
2008-10-29,1.8095797,3.2745788,9.78907,3.128749,-7.2785583,-5.1463337,0.57837164,0.33451375
2008-10-30,-2.094033,4.384974,9.440227,3.0724952,-7.1476927,-5.053805,-0.6815415,0.46449882
2008-10-31,-2.8062398,7.874982,10.208271,3.1950386,-7.432771,-5.2553706,-0.87831175,0.77143157
2008-11-03,1.1926416,1.422394,9.709202,3.1159592,-7.248805,-5.1252966,0.38275266,0.14649959
2008-11-04,4.1318116,17.071867,10.652181,3.263768,-7.5926595,-5.3684206,1.2659637,1.602664
2008-11-05,-1.963599,3.855721,8.087445,2.8438435,-6.615769,-4.6777062,-0.6904737,0.4767539
2008-11-06,-1.3718348,1.8819306,9.291629,3.0482173,-7.0912137,-5.013871,-0.45004493,0.20254044
2008-11-07,0.27314958,0.074610695,9.441146,3.0726447,-7.1480403,-5.054051,0.08889722,0.007902716
2008-11-10,1.6770698,2.812563,9.925676,3.150504,-7.3291683,-5.182118,0.53231794,0.2833624
2008-11-11,-1.8408718,3.388809,10.967881,3.3117793,-7.7043505,-5.447392,-0.5558558,0.3089757
2008-11-12,-1.9728843,3.8922725,10.950448,3.3091462,-7.698225,-5.443061,-0.59619135,0.35544413
2008-11-13,-1.7995688,3.2384477,11.172256,3.3424926,-7.7758,-5.497911,-0.53839123,0.2898651
2008-11-14,5.1832232,26.865803,10.673779,3.2670748,-7.6003523,-5.37386,1.5865028,2.5169911
2008-11-17,-0.06737182,0.0045389626,11.205864,3.347516,-7.7874866,-5.5061736,-0.020125914,0.00040505241
2008-11-18,-1.2614679,1.5913013,11.9130745,3.4515321,-8.029465,-5.677265,-0.36548057,0.13357605
2008-11-19,0.4494456,0.20200135,11.742601,3.426748,-7.971808,-5.636499,0.13115805,0.017202435
2008-11-20,1.711049,2.9276886,11.939378,3.4553404,-8.038323,-5.683529,0.4951897,0.24521284
2008-11-21,5.5977783,31.335123,11.804438,3.4357586,-7.9927697,-5.65132,1.62927,2.6545205
2008-11-24,3.4389846,11.826615,11.310641,3.3631296,-7.823809,-5.531856,1.0225549,1.0456184
2008-11-25,-0.12211504,0.014912083,8.734284,2.9553823,-6.8752475,-4.8611712,-0.041319538,0.0017073043
2008-11-26,-1.2170565,1.4812266,9.436032,3.0718126,-7.146105,-5.052682,-0.3962014,0.15697555
2008-11-28,0.9478759,0.89846873,8.725765,2.9539406,-6.8718934,-4.8588,0.32088524,0.10296734
2008-12-01,-5.2312703,27.36619,8.847436,2.974464,-6.9196377,-4.8925576,-1.7587271,3.0931208
2008-12-02,0.86124474,0.7417425,5.44703,2.3338873,-5.429434,-3.838903,0.36901727,0.13617375
2008-12-03,-1.6128341,2.6012337,6.2776947,2.5055327,-5.8287406,-4.1212344,-0.64370906,0.41436136
2008-12-04,-0.6524883,0.42574096,7.291975,2.7003658,-6.28199,-4.441706,-0.2416296,0.058384866
2008-12-05,-1.7566309,3.085752,9.743033,3.1213832,-7.261423,-5.134218,-0.5627732,0.31671372
2008-12-08,2.2268558,4.9588866,9.779628,3.1272397,-7.2750473,-5.1438513,0.71208346,0.50706285
2008-12-09,0.64943725,0.42176875,8.856502,2.9759874,-6.923182,-4.8950634,0.2182258,0.0476225
2008-12-10,4.3944964,19.3116,10.146646,3.18538,-7.4103017,-5.239484,1.3795831,1.9032496
2008-12-11,2.181465,4.758789,9.187053,3.0310152,-7.0511956,-4.985576,0.7197143,0.5179886
2008-12-12,-0.73001903,0.5329278,8.306459,2.882093,-6.7047505,-4.740621,-0.25329477,0.06415824
2008-12-15,1.9948674,3.979496,8.8405,2.9732978,-6.916925,-4.89064,0.6709275,0.45014375
2008-12-16,0.75129896,0.56445014,8.792138,2.965154,-6.8979793,-4.877244,0.25337604,0.06419942
2008-12-17,3.019184,9.115473,8.577081,2.9286654,-6.8130946,-4.817226,1.0309079,1.0627711
2008-12-18,-0.91483754,0.8369277,8.556046,2.925072,-6.8047347,-4.811315,-0.31275728,0.097817115
2008-12-19,-2.736014,7.485772,8.633519,2.938285,-6.835473,-4.833049,-0.9311601,0.8670591
2008-12-22,1.1648755,1.3569349,6.439022,2.5375228,-5.9031606,-4.1738534,0.4590601,0.21073619
2008-12-23,-1.0692748,1.1433486,6.359098,2.5217252,-5.86641,-4.1478686,-0.42402512,0.1797973
2008-12-24,1.1755718,1.3819691,7.8033257,2.7934434,-6.498521,-4.5948052,0.4208325,0.1771
2008-12-26,2.7134182,7.3626385,8.322158,2.884815,-6.711083,-4.745098,0.94058657,0.8847031
2008-12-29,0.4813707,0.23171774,7.4938793,2.7374952,-6.368366,-4.502779,0.17584348,0.030920928
2008-12-30,-0.6078335,0.36946157,7.872853,2.8058605,-6.5274076,-4.6152296,-0.21662998,0.046928547
2008-12-31,1.6316168,2.6621735,8.078423,2.8422565,-6.612077,-4.675096,0.57405686,0.3295413
