date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5,std_resid,squared_std_resid
2014-09-15,0.3003819,0.09022929,0.71019393,0.84273005,-1.9604832,-1.3861675,0.35643905,0.1270488
2014-09-16,0.12961566,0.016800221,0.626421,0.7914676,-1.841229,-1.3018483,0.16376624,0.02681938
2014-09-17,-0.06478189,0.004196693,0.68361413,0.8268096,-1.9234467,-1.3599807,-0.07835164,0.0061389795
2014-09-18,-0.7072972,0.50026935,0.720945,0.8490848,-1.9752666,-1.3966202,-0.83301127,0.6939078
2014-09-19,-0.852107,0.7260863,0.78536254,0.8862068,-2.0616252,-1.4576805,-0.9615216,0.92452383
2014-09-22,0.1233502,0.015215273,0.7680274,0.87637174,-2.0387454,-1.4415032,0.140751,0.019810846
2014-09-23,0.3445693,0.118728,0.76420534,0.87418836,-2.0336661,-1.4379119,0.3941591,0.1553614
2014-09-24,-0.19675563,0.038712777,0.6987992,0.8359421,-1.944692,-1.3750024,-0.23536994,0.055399008
2014-09-25,0.21313031,0.04542453,0.72022176,0.8486588,-1.9742756,-1.3959194,0.2511378,0.06307019
2014-09-26,-0.58309,0.33999395,0.95165277,0.9755269,-2.269415,-1.604599,-0.597718,0.3572668
2014-09-29,0.27965343,0.07820604,0.78734505,0.88732463,-2.0642257,-1.4595191,0.31516474,0.099328816
2014-09-30,-0.5766078,0.3324766,0.7972784,0.89290446,-2.0772064,-1.4686971,-0.64576656,0.41701445
2014-10-01,0.3381287,0.11433101,0.79062325,0.88917,-2.0685186,-1.4625545,0.3802745,0.14460869
2014-10-02,-0.03294009,0.0010850495,0.7855358,0.88630456,-2.0618527,-1.4578413,-0.037165657,0.0013812861
2014-10-03,-1.8285085,3.3434434,0.76149863,0.8726389,-2.0300615,-1.4353632,-2.0953782,4.3906097
2014-10-06,1.2089021,1.4614444,0.7968881,0.8926859,-2.0766978,-1.4683375,1.3542302,1.8339393
2014-10-07,0.41349712,0.17097987,0.66522694,0.81561446,-1.8974029,-1.3415663,0.5069762,0.25702485
2014-10-08,-0.5295753,0.28045,0.98556143,0.99275446,-2.309492,-1.6329358,-0.53344035,0.2845586
2014-10-09,1.5885701,2.523555,1.744994,1.3209822,-3.073064,-2.1728222,1.2025673,1.4461682
2014-10-10,-0.2944045,0.08667401,1.6847919,1.2979953,-3.0195887,-2.1350124,-0.22681476,0.051444937
2014-10-13,0.6774746,0.45897186,3.3764098,1.8375009,-4.2746663,-3.02242,0.36869347,0.13593487
2014-10-14,0.34917626,0.12192406,4.5120325,2.1241546,-4.9415226,-3.4939232,0.16438363,0.02702198
2014-10-15,0.8475653,0.7183669,5.228088,2.2865012,-5.319197,-3.7609596,0.3706822,0.1374053
2014-10-16,-0.28978333,0.08397438,5.0243797,2.2415128,-5.2145386,-3.6869605,-0.12928025,0.016713385
2014-10-17,-0.17750135,0.03150673,4.9712505,2.2296302,-5.1868954,-3.6674154,-0.07961022,0.0063377875
2014-10-20,0.4592484,0.21090908,4.041662,2.0103886,-4.676863,-3.306795,0.22843762,0.052183744
2014-10-21,0.5611237,0.31485984,2.8033316,1.6743152,-3.8950396,-2.7540033,0.33513626,0.11231632
2014-10-22,-0.49683177,0.24684182,1.8796809,1.3710146,-3.189457,-2.2551184,-0.36238256,0.13132112
2014-10-23,-1.3181001,1.7373879,1.3777988,1.1737968,-2.7306595,-1.9307238,-1.1229372,1.260988
2014-10-24,0.21953508,0.048195653,1.0607998,1.0299513,-2.396025,-1.6941191,0.21315093,0.04543332
2014-10-27,-0.17070895,0.029141547,0.94708335,0.9731821,-2.2639601,-1.6007421,-0.17541318,0.030769782
2014-10-28,0.008133717,6.615735e-05,0.8572123,0.9258576,-2.1538668,-1.5229002,0.0087850625,7.717732e-05
2014-10-29,-0.39942196,0.1595379,0.89289963,0.94493365,-2.1982443,-1.5542775,-0.4226984,0.17867394
2014-10-30,-2.1632342,4.679582,0.8527103,0.9234232,-2.1482034,-1.5188959,-2.3426251,5.4878926
2014-10-31,-2.279349,5.195432,0.6605997,0.81277287,-1.8907924,-1.3368924,-2.804411,7.864721
2014-11-03,-0.14526395,0.021101616,0.56306225,0.75037473,-1.7456326,-1.2342566,-0.19358855,0.03747653
2014-11-04,-0.17117429,0.029300638,0.51131326,0.7150617,-1.6634823,-1.1761719,-0.23938394,0.05730467
2014-11-05,-1.9025133,3.6195567,0.5438244,0.73744446,-1.7155523,-1.2129881,-2.5798733,6.6557465
2014-11-06,-0.27101257,0.073447816,0.7280638,0.85326654,-1.9849948,-1.4034985,-0.3176177,0.10088101
