date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5,std_resid,squared_std_resid
2019-04-26,1.0169048,1.0340954,0.95138156,0.97538793,-2.2690916,-1.6043704,1.0425645,1.0869408
2019-05-03,-0.44460687,0.19767527,1.0113631,1.0056655,-2.3395278,-1.6541725,-0.44210213,0.1954543
2019-05-10,0.5068435,0.25689033,1.2910175,1.1362295,-2.643265,-1.8689312,0.44607493,0.19898285
2019-05-17,-0.8749334,0.7655085,2.467032,1.5706788,-3.6539452,-2.5835366,-0.5570416,0.3102953
2019-05-24,0.6647141,0.44184482,2.0999956,1.4491361,-3.3711946,-2.3836167,0.45869678,0.21040274
2019-05-31,1.7614832,3.102823,1.6987852,1.3033745,-3.0321026,-2.1438603,1.3514789,1.8264953
2019-06-07,2.6748781,7.154973,3.5640883,1.8878794,-4.3918643,-3.1052852,1.4168692,2.0075183
2019-06-14,-0.08204794,0.0067318645,1.7967862,1.3404425,-3.1183355,-2.2048318,-0.06120959,0.0037466139
2019-06-21,4.101001,16.818207,2.3109837,1.520192,-3.5364954,-2.5004933,2.697686,7.2775097
2019-06-28,0.9622656,0.9259551,3.3330188,1.8256557,-4.2471104,-3.0029364,0.52707946,0.27781275
2019-07-05,-0.9264605,0.85832906,4.063859,2.0159016,-4.689688,-3.315863,-0.45957625,0.21121033
2019-07-12,0.9406521,0.8848263,3.668621,1.9153645,-4.455804,-3.150494,0.49110866,0.2411877
2019-07-19,1.0723172,1.1498643,3.8230493,1.955262,-4.5486193,-3.2161195,0.5484264,0.3007715
2019-07-26,-0.46419942,0.2154811,2.5417948,1.5943007,-3.708898,-2.6223912,-0.29116178,0.08477518
2019-08-02,1.8924468,3.5813546,1.8777361,1.3703051,-3.1878061,-2.2539513,1.3810405,1.9072727
2019-08-09,3.4671407,12.021065,2.7425597,1.6560675,-3.852589,-2.7239885,2.0935986,4.3831553
2019-08-16,1.0568058,1.1168386,2.2145956,1.4881517,-3.4619584,-2.4477916,0.7101466,0.5043082
2019-08-23,0.92791134,0.86101943,2.850645,1.6883854,-3.9277716,-2.7771468,0.54958504,0.3020437
2019-08-30,-0.4924986,0.24255487,4.452522,2.1101,-4.908827,-3.4708056,-0.2334006,0.05447584
2019-09-06,-0.8528148,0.7272931,3.6433444,1.9087547,-4.4404273,-3.139622,-0.4467912,0.19962238
2019-09-13,-1.020991,1.0424225,3.1613896,1.7780297,-4.1363153,-2.9245985,-0.5742261,0.3297356
2019-09-20,1.0940022,1.1968409,3.8702028,1.9672831,-4.576585,-3.2358928,0.55609804,0.30924502
2019-09-27,-0.54550916,0.29758024,4.123095,2.0305405,-4.7237434,-3.3399417,-0.2686522,0.072174005
2019-10-04,0.47249785,0.22325422,4.2475333,2.0609546,-4.794497,-3.3899686,0.22926165,0.052560903
2019-10-11,-1.5725173,2.4728105,4.4463353,2.1086335,-4.905415,-3.4683933,-0.7457518,0.5561457
2019-10-18,0.3702586,0.13709143,3.603478,1.8982829,-4.416066,-3.1223974,0.19504923,0.0380442
