date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5,std_resid,squared_std_resid
2014-06-20,3.2822747,10.773328,3.0713964,1.75254,-4.077018,-2.8826716,1.8728672,3.5076315
2014-06-27,0.21251138,0.045161083,3.5348506,1.8801198,-4.3738127,-3.092522,0.11303076,0.012775953
2014-07-04,0.10608657,0.01125436,3.7265997,1.9304403,-4.4908757,-3.1752918,0.054954596,0.0030200076
2014-07-11,1.2493558,1.5608898,4.1742334,2.0430942,-4.752948,-3.3605907,0.6115018,0.37393448
2014-07-18,-2.1012073,4.415072,4.4618225,2.1123025,-4.9139504,-3.4744284,-0.9947473,0.98952216
2014-07-25,-0.46702042,0.21810807,4.5468287,2.1323295,-4.96054,-3.5073698,-0.21901889,0.047969274
2014-08-01,-0.7317012,0.5353866,4.0341077,2.008509,-4.6724906,-3.303703,-0.3643007,0.132715
2014-08-08,1.1758099,1.3825288,4.680685,2.163489,-5.033028,-3.5586228,0.54347855,0.29536894
2014-08-15,-0.3367283,0.11338595,4.44849,2.1091444,-4.906604,-3.4692338,-0.1596516,0.025488636
2014-08-22,-2.0054114,4.0216746,3.7125027,1.9267856,-4.482373,-3.1692803,-1.0408068,1.0832788
2014-08-29,0.56154203,0.31532946,3.4593983,1.8599458,-4.326881,-3.0593386,0.3019131,0.09115153
2014-09-05,-1.567676,2.457608,4.1421022,2.0352156,-4.7346196,-3.3476317,-0.7702751,0.59332377
2014-09-12,-2.8771486,8.277985,4.8698697,2.206778,-5.1337333,-3.6298268,-1.3037779,1.6998369
2014-09-19,-1.1941885,1.4260861,5.948158,2.4388845,-5.6736937,-4.011608,-0.48964536,0.23975258
2014-09-26,-0.09879586,0.009760622,5.251785,2.2916772,-5.3312383,-3.7694736,-0.04311072,0.0018585343
2014-10-03,-1.8202742,3.3133984,6.2388673,2.4977725,-5.8106875,-4.10847,-0.72875905,0.5310898
2014-10-10,2.3869896,5.697719,6.118448,2.4735496,-5.754337,-4.068627,0.96500576,0.9312361
2014-10-17,1.4069316,1.9794567,7.7325134,2.7807398,-6.468968,-4.5739098,0.5059559,0.25599134
2014-10-24,-0.57502466,0.33065337,8.749439,2.957945,-6.8812094,-4.8653865,-0.19440004,0.037791375
2014-10-31,-5.0045805,25.045826,7.141551,2.672368,-6.2168574,-4.395654,-1.8727138,3.507057
2014-11-07,-0.12816681,0.01642673,6.7657757,2.6011105,-6.051088,-4.2784457,-0.049273882,0.0024279153
2014-11-14,1.3080986,1.7111218,5.884455,2.4257896,-5.6432304,-3.9900687,0.5392465,0.29078677
2014-11-21,1.0493276,1.1010884,5.7388544,2.3955905,-5.572977,-3.9403956,0.4380246,0.19186556
2014-11-28,-1.8797746,3.5335524,5.353123,2.3136818,-5.3824286,-3.8056679,-0.81246024,0.66009164
2014-12-05,1.2599013,1.5873512,5.4754395,2.3399658,-5.4435744,-3.8489013,0.53842723,0.28990388
2014-12-12,2.6451545,6.9968424,5.0192904,2.2403772,-5.2118964,-3.6850924,1.1806737,1.3939904
