date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5,std_resid,squared_std_resid
2019-01-04,1.8306643,3.3513317,7.7906976,2.791182,-6.4932604,-4.591086,0.6558742,0.43017095
2019-01-07,1.1608782,1.3476381,8.593778,2.9315145,-6.819722,-4.8219123,0.39599946,0.15681557
2019-01-08,2.5637178,6.572649,6.3343806,2.5168195,-5.8549976,-4.1397996,1.018634,1.0376152
2019-01-09,5.052968,25.532486,7.3866105,2.7178319,-6.3226223,-4.4704356,1.8591908,3.4565904
2019-01-10,0.43830377,0.1921102,6.735486,2.5952816,-6.0375276,-4.2688584,0.16888486,0.028522095
2019-01-11,-1.9198133,3.685683,5.0331044,2.243458,-5.2190638,-3.69016,-0.85573846,0.7322883
2019-01-14,-2.1156554,4.475998,10.87251,3.297349,-7.6707807,-5.4236565,-0.64162314,0.41168025
2019-01-15,3.1185577,9.725402,10.0135,3.1644115,-7.3615217,-5.2049937,0.9855095,0.971229
2019-01-16,0.3830703,0.14674285,12.104256,3.4791172,-8.0936365,-5.722638,0.110105604,0.012123244
2019-01-17,-0.45986223,0.21147327,10.065323,3.1725893,-7.380546,-5.218445,-0.14494856,0.021010084
2019-01-18,3.268449,10.682759,9.982012,3.1594322,-7.3499384,-5.1968036,1.0345052,1.0702012
2019-01-22,-2.3127844,5.348972,8.237999,2.8701913,-6.6770635,-4.7210445,-0.80579454,0.6493048
2019-01-23,0.09506463,0.009037284,4.26615,2.0654662,-4.8049927,-3.3973894,0.046025753,0.00211837
2019-01-24,0.9645505,0.93035764,5.010663,2.238451,-5.2074156,-3.681924,0.43090087,0.18567556
2019-01-25,1.0484979,1.0993478,9.211669,3.035073,-7.0606356,-4.992251,0.34546053,0.11934298
2019-01-28,-3.2175314,10.352509,4.0478296,2.011922,-4.68043,-3.3093169,-1.5992328,2.5575454
2019-01-29,2.5072532,6.2863183,5.312327,2.3048487,-5.36188,-3.7911386,1.0878168,1.1833454
2019-01-30,1.7110295,2.927622,3.8131044,1.9527172,-4.5426993,-3.2119339,0.87623006,0.7677791
2019-01-31,-0.814666,0.6636807,2.763462,1.6623664,-3.8672423,-2.7343493,-0.49006402,0.24016275
2019-02-01,2.6961696,7.2693305,3.0374107,1.7428169,-4.0543985,-2.8666787,1.5470183,2.3932655
2019-02-04,-1.2748251,1.625179,3.346219,1.8292674,-4.255512,-3.008877,-0.6969047,0.4856762
2019-02-05,-1.6633196,2.766632,3.3091857,1.8191167,-4.2318983,-2.9921806,-0.91435564,0.8360462
2019-02-06,0.65013415,0.42267442,4.385686,2.094203,-4.871845,-3.4446573,0.31044465,0.09637588
2019-02-07,-2.5692909,6.6012554,4.1886287,2.046614,-4.761136,-3.3663802,-1.2553862,1.5759946
2019-02-08,0.15186378,0.02306261,5.4789295,2.3407114,-5.4453087,-3.8501275,0.06487933,0.004209327
2019-02-11,-0.58975035,0.34780547,4.9053345,2.214799,-5.152393,-3.64302,-0.26627716,0.070903525
2019-02-12,1.307949,1.7107304,7.178766,2.679322,-6.233035,-4.4070926,0.48816416,0.23830424
2019-02-13,1.4953607,2.2361038,6.440022,2.5377197,-5.903619,-4.174177,0.5892537,0.34721994
2019-02-14,0.94174516,0.886884,3.6714628,1.9161061,-4.457529,-3.151714,0.49148905,0.24156149
2019-02-15,2.1455374,4.6033306,2.7124286,1.6469452,-3.8313675,-2.708984,1.3027375,1.697125
2019-02-19,0.8954215,0.8017797,2.6872175,1.6392734,-3.8135202,-2.6963646,0.54623073,0.298368
2019-02-20,1.4689195,2.1577246,2.419764,1.555559,-3.6187713,-2.558667,0.9443033,0.8917087
2019-02-21,0.070251,0.0049352036,2.3859544,1.5446535,-3.5934014,-2.5407288,0.045480102,0.0020684397
2019-02-22,0.52530193,0.27594212,2.9403718,1.7147512,-3.9891078,-2.8205147,0.30634293,0.09384599
2019-02-25,-3.1579685,9.972765,2.628791,1.6213547,-3.771835,-2.666891,-1.9477345,3.7936697
2019-02-26,0.036043357,0.0012991236,4.585636,2.1414099,-4.981664,-3.5223057,0.016831601,0.0002833028
2019-02-27,2.5615036,6.5613008,4.3419814,2.0837421,-4.847509,-3.4274507,1.2292806,1.5111308
2019-02-28,0.4905451,0.24063449,3.4559278,1.8590126,-4.32471,-3.0578036,0.263874,0.06962948
2019-03-01,-2.5129654,6.3149953,2.8242688,1.680556,-3.9095578,-2.7642686,-1.4953178,2.2359753
2019-03-04,1.4058439,1.9763969,4.154901,2.0383575,-4.7419286,-3.3527997,0.68969446,0.47567844
2019-03-05,-0.0530248,0.0028116293,3.6272283,1.9045284,-4.4305954,-3.1326704,-0.027841432,0.0007751453
2019-03-06,-0.60294586,0.36354372,3.4200566,1.8493395,-4.302207,-3.0418928,-0.3260331,0.106297575
2019-03-07,0.7795904,0.60776126,3.547571,1.8834996,-4.3816752,-3.098081,0.41390526,0.17131756
2019-03-08,-1.0467587,1.0957037,3.307814,1.8187397,-4.231021,-2.9915605,-0.57554066,0.33124706
2019-03-11,1.2759365,1.628014,3.3487234,1.8299518,-4.2571044,-3.0100026,0.69725144,0.48615956
2019-03-12,0.14076725,0.019815417,2.841608,1.685707,-3.9215407,-2.772741,0.08350635,0.006973311
2019-03-13,2.414778,5.831153,2.6821778,1.6377356,-3.8099427,-2.6938353,1.4744614,2.1740365
2019-03-14,0.59896183,0.35875526,2.3400064,1.5297079,-3.5586326,-2.5161455,0.39155307,0.15331382
2019-03-15,-0.15367569,0.023616217,2.1956484,1.4817721,-3.4471173,-2.437298,-0.10371075,0.010755919
2019-03-18,0.9693124,0.9395666,2.382925,1.5436726,-3.5911193,-2.5391154,0.6279262,0.39429128
2019-03-19,-0.10159394,0.010321329,2.3473594,1.5321095,-3.5642197,-2.5200958,-0.06630985,0.004396996
2019-03-20,1.346147,1.8121116,2.4800591,1.5748204,-3.66358,-2.590349,0.85479397,0.7306727
2019-03-21,0.2503928,0.062696554,2.1735344,1.4742912,-3.4297142,-2.4249933,0.16983944,0.028845437
2019-03-22,-1.579597,2.4951267,2.2031837,1.4843125,-3.4530272,-2.4414768,-1.0641943,1.1325096
2019-03-25,-0.37332678,0.13937289,2.8477807,1.6875368,-3.9257977,-2.775751,-0.22122586,0.04894088
2019-03-26,1.8862112,3.5577924,2.8630416,1.6920525,-3.9363027,-2.7831786,1.1147474,1.2426618
2019-03-27,-0.88814795,0.7888068,2.503954,1.5823886,-3.6811864,-2.6027977,-0.5612704,0.31502447
2019-03-28,-0.18532667,0.034345973,2.4688106,1.571245,-3.6552622,-2.584468,-0.117948934,0.013911951
2019-03-29,1.4065874,1.978488,2.5376902,1.5930129,-3.705902,-2.620273,0.88297296,0.7796412
2019-04-01,2.3824356,5.675999,2.2127588,1.4875344,-3.4605224,-2.4467764,1.6016003,2.5651236
