date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5,std_resid,squared_std_resid
2020-07-17,-0.3934105,0.15477182,3.9604208,1.9900806,-4.6296196,-3.2733912,-0.19768572,0.039079644
2020-07-20,0.54054487,0.29218876,4.01857,2.004637,-4.663483,-3.2973344,0.26964727,0.07270965
2020-07-21,2.7789578,7.7226067,3.7830594,1.9450089,-4.5247674,-3.1992548,1.4287636,2.0413656
2020-07-22,-0.14308983,0.0204747,2.783098,1.668262,-3.8809576,-2.7440467,-0.0857718,0.0073568015
2020-07-23,-2.0007944,4.003178,3.1498232,1.7747741,-4.1287417,-2.9192436,-1.1273516,1.2709217
2020-07-24,0.5342442,0.28541684,5.615316,2.3696659,-5.512667,-3.8977535,0.22545128,0.050828278
2020-07-27,0.7479769,0.55946946,5.3566084,2.3144348,-5.38418,-3.8069062,0.32317907,0.10444471
2020-07-28,-1.3552908,1.8368131,4.548018,2.1326082,-4.9611883,-3.5078282,-0.6355086,0.40387118
2020-07-29,0.55886316,0.31232804,3.8845122,1.9709166,-4.5850377,-3.2418692,0.28355494,0.0804034
2020-07-30,-3.325845,11.061245,3.562114,1.8873564,-4.3906474,-3.104425,-1.7621711,3.1052473
2020-07-31,0.87293804,0.7620208,4.9351687,2.221524,-5.1680374,-3.6540818,0.3929456,0.15440623
2020-08-03,1.8209113,3.315718,4.1050177,2.0260844,-4.713377,-3.3326123,0.89873415,0.8077231
2020-08-04,1.668525,2.7839756,3.4046073,1.8451577,-4.2924786,-3.0350144,0.90427226,0.8177083
2020-08-05,1.1682047,1.3647021,2.80956,1.6761743,-3.8993645,-2.7570612,0.69694704,0.48573518
2020-08-06,-0.57047427,0.32544088,2.8602905,1.6912394,-3.934411,-2.781841,-0.33731136,0.11377895
2020-08-07,-1.7554846,3.081726,3.3652213,1.8344539,-4.267578,-3.0174081,-0.9569521,0.9157573
2020-08-10,1.7316388,2.9985728,4.483111,2.1173358,-4.9256597,-3.4827075,0.81783855,0.6688599
2020-08-11,-0.7899455,0.62401384,3.4914517,1.8685427,-4.34688,-3.0734792,-0.42276022,0.1787262
2020-08-12,2.5155516,6.3279996,3.5378945,1.8809291,-4.375695,-3.093853,1.3373984,1.7886345
2020-08-13,-1.0128375,1.0258398,2.7581038,1.660754,-3.8634913,-2.731697,-0.6098661,0.37193665
2020-08-14,-0.5460034,0.29811972,3.1558783,1.7764792,-4.1327085,-2.9220483,-0.3073514,0.09446489
2020-08-17,2.073104,4.29776,3.536907,1.8806666,-4.375085,-3.0934212,1.102324,1.2151182
2020-08-18,0.0,0.0,2.7059438,1.6449753,-3.8267846,-2.7057436,0.0,0.0
2020-08-19,0.09322051,0.008690064,2.865188,1.6926866,-3.9377778,-2.7842216,0.055072516,0.0030329821
2020-08-20,-0.81861866,0.6701365,3.0213947,1.7382159,-4.043695,-2.8591106,-0.47095338,0.22179708
2020-08-21,-0.5652433,0.3195,3.4956653,1.8696698,-4.349502,-3.075333,-0.30232254,0.09139892
2020-08-24,0.6591332,0.43445656,3.611028,1.9002705,-4.42069,-3.1256666,0.34686282,0.120313816
2020-08-25,1.6983066,2.8842452,3.0098474,1.7348912,-4.03596,-2.853642,0.9789125,0.95826966
2020-08-26,0.09223177,0.008506699,2.4476612,1.5645003,-3.639572,-2.573374,0.058952864,0.0034754402
2020-08-27,-0.8099048,0.6559458,2.6525624,1.6286689,-3.7888503,-2.678922,-0.4972802,0.2472876
2020-08-28,-0.16277109,0.026494429,3.1371515,1.7712005,-4.1204286,-2.9133656,-0.09189874,0.008445378
2020-08-31,-0.8413244,0.70782673,3.1908844,1.7863047,-4.155566,-2.9382098,-0.47098592,0.22182773
2020-09-01,0.3514065,0.12348654,2.5943058,1.6106849,-3.7470133,-2.6493409,0.2181721,0.047599066
2020-09-02,-2.9668727,8.802334,2.2422783,1.4974239,-3.4835289,-2.463043,-1.9813179,3.9256206
2020-09-03,-0.3378367,0.11413364,3.5081673,1.8730102,-4.357273,-3.0808275,-0.180371,0.032533698
2020-09-04,-3.9443083,15.557568,3.4040818,1.8450154,-4.2921476,-3.0347803,-2.1378186,4.570268
2020-09-08,-7.870262,61.941025,5.1533093,2.27009,-5.281019,-3.7339659,-3.4669383,12.019661
2020-09-09,3.4490812,11.896161,9.122943,3.020421,-7.02655,-4.96815,1.1419207,1.3039829
