date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5,std_resid,squared_std_resid
2022-07-15,1.872111,3.5047994,8.489866,2.9137375,-6.778367,-4.7926717,0.64251184,0.41282147
2022-07-18,5.0062923,25.062963,12.763449,3.572597,-8.311103,-5.876399,1.4013034,1.9636513
2022-07-19,1.5666144,2.4542806,12.952285,3.5989282,-8.372359,-5.91971,0.43530026,0.18948631
2022-07-20,-1.898545,3.604473,13.472281,3.6704607,-8.538768,-6.0373707,-0.51724976,0.2675473
2022-07-21,-5.953123,35.439674,4.3865643,2.0944126,-4.872332,-3.445002,-2.8423831,8.079142
2022-07-22,-1.7273412,2.9837074,3.396052,1.842838,-4.287082,-3.0311987,-0.9373266,0.87858117
2022-07-25,2.0899403,4.3678503,4.5766406,2.1393085,-4.9767756,-3.5188491,0.97692335,0.9543792
2022-07-26,-1.7946992,3.2209451,10.8530855,3.2944021,-7.663925,-5.418809,-0.5447723,0.2967769
2022-07-27,2.372145,5.6270714,9.35765,3.0590277,-7.1163626,-5.0316525,0.77545714,0.6013338
2022-07-28,-0.8674197,0.75241697,7.278417,2.6978543,-6.2761474,-4.4375753,-0.3215221,0.103376456
2022-07-29,2.256048,5.089752,7.669644,2.7694123,-6.4426165,-4.555278,0.81463057,0.663623
2022-08-01,-4.9150233,24.157454,8.063053,2.8395517,-6.605785,-4.6706467,-1.7309153,2.9960678
2022-08-02,0.5629018,0.31685844,34.036808,5.8341074,-13.572163,-9.596252,0.096484646,0.009309287
2022-08-03,-4.063661,16.513342,6.3882504,2.5274987,-5.8798413,-4.1573653,-1.6077797,2.5849557
2022-08-04,-2.3661847,5.59883,4.122999,2.0305169,-4.7236886,-3.3399029,-1.1653116,1.357951
2022-08-05,0.5294309,0.2802971,6.4685807,2.5433404,-5.9166946,-4.1834226,0.2081636,0.043332085
2022-08-08,1.9469937,3.7907846,8.456016,2.907923,-6.76484,-4.7831078,0.6695479,0.4482944
2022-08-09,-0.28688326,0.082302004,7.6370597,2.763523,-6.428916,-4.545591,-0.1038107,0.010776661
2022-08-10,1.5677571,2.4578624,6.10137,2.4700952,-5.7463007,-4.062945,0.63469505,0.4028378
2022-08-11,2.587782,6.696615,7.729092,2.7801244,-6.4675364,-4.5728974,0.93081516,0.8664169
2022-08-12,-2.4138918,5.826874,3.1000788,1.760704,-4.09601,-2.8961003,-1.370981,1.8795888
2022-08-15,-2.9533746,8.722422,4.7844043,2.187328,-5.088486,-3.5978346,-1.3502202,1.8230946
2022-08-16,-3.2741413,10.720001,4.8389015,2.1997504,-5.1173844,-3.6182673,-1.4884149,2.2153788
