date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5,std_resid,squared_std_resid
2007-09-25,-1.7697349,3.1319616,3.117748,1.7657146,-4.1076665,-2.9043422,-1.0022768,1.0045587
2007-09-26,0.96353656,0.9284027,3.9714973,1.9928616,-4.6360893,-3.2779655,0.48349395,0.2337664
2007-09-27,3.1624086,10.000828,3.6915295,1.9213353,-4.469694,-3.1603153,1.645943,2.7091286
2007-09-28,-1.4829415,2.1991155,2.2609494,1.5036454,-3.4980023,-2.4732766,-0.98623085,0.9726513
2007-10-01,-1.7542213,3.0772924,2.7850282,1.6688404,-3.8823032,-2.7449982,-1.0511618,1.104941
2007-10-02,-0.23706394,0.056199312,3.4845674,1.8666996,-4.3425927,-3.0704474,-0.12699631,0.016128063
2007-10-03,-0.13750938,0.018908828,3.643065,1.9086815,-4.440257,-3.1395016,-0.07204417,0.0051903627
2007-10-04,1.8590199,3.4559548,3.8769314,1.9689925,-4.580561,-3.2387044,0.94414777,0.891415
2007-10-05,-0.27050456,0.07317272,3.0590186,1.7490051,-4.0687943,-2.8768573,-0.15466197,0.023920324
2007-10-08,-2.7460597,7.5408435,3.1666212,1.7795002,-4.1397367,-2.9270175,-1.5431634,2.3813534
2007-10-09,1.5570449,2.4243886,3.4476993,1.8567982,-4.3195586,-3.054161,0.8385644,0.70319027
2007-10-10,1.2874663,1.6575694,2.4032717,1.5502489,-3.6064181,-2.5499325,0.83049005,0.6897137
2007-10-11,2.1657965,4.690675,2.033768,1.4261024,-3.3176103,-2.3457296,1.5186824,2.306396
2007-10-12,0.73155046,0.5351661,1.628546,1.276145,-2.9687572,-2.0990717,0.5732503,0.3286159
2007-10-15,2.8738225,8.258856,1.9631926,1.4011397,-3.2595384,-2.3046696,2.0510607,4.20685
2007-10-16,1.7037402,2.9027307,1.3970768,1.18198,-2.7496967,-1.9441841,1.441429,2.0777175
2007-10-17,-0.23998535,0.057592966,1.3985871,1.1826187,-2.7511826,-1.9452347,-0.20292707,0.041179396
2007-10-18,2.3408086,5.479385,2.0694678,1.4385645,-3.3466015,-2.366228,1.6271836,2.6477263
2007-10-19,-0.9771546,0.9548311,1.6779019,1.2953385,-3.013408,-2.1306422,-0.75436234,0.56906253
2007-10-22,-1.1807595,1.3941932,2.4917767,1.5785363,-3.6722245,-2.596461,-0.74800915,0.5595177
2007-10-23,-2.6501591,7.0233436,3.3220718,1.8226552,-4.24013,-2.9980009,-1.4540101,2.1141455
2007-10-24,2.1234212,4.5089173,3.9360108,1.9839382,-4.61533,-3.263288,1.0703061,1.145555
2007-10-25,3.7850885,14.326896,2.6984124,1.6426845,-3.8214555,-2.7019753,2.3042092,5.30938
2007-10-26,1.5357932,2.3586607,1.4039377,1.1848788,-2.7564404,-1.9489522,1.2961606,1.6800323
2007-10-29,1.8016541,3.2459576,1.4565238,1.2068653,-2.8075886,-1.9851167,1.4928378,2.2285647
2007-10-30,-3.4259253,11.736964,1.5182289,1.2321643,-2.8664427,-2.0267298,-2.7804127,7.730695
2007-10-31,4.489426,20.154947,2.6385162,1.624351,-3.7788055,-2.6718197,2.7638276,7.638743
2007-11-01,-1.1062776,1.2238501,1.2381734,1.1127324,-2.5886025,-1.8302819,-0.9941991,0.9884319
2007-11-02,2.5764308,6.6379957,2.111583,1.4531287,-3.3804827,-2.390184,1.7730231,3.143611
2007-11-05,-2.0536733,4.217574,2.096245,1.4478415,-3.368183,-2.3814874,-1.4184378,2.011966
2007-11-06,2.8531342,8.140374,3.4159963,1.8482414,-4.2996526,-3.0400865,1.5437021,2.3830163
2007-11-07,-0.34183925,0.11685408,2.6867218,1.6391222,-3.8131685,-2.6961162,-0.20855018,0.04349318
2007-11-08,-0.94876766,0.9001601,3.2862427,1.8127997,-4.2172027,-2.98179,-0.52337146,0.27391768
2007-11-09,0.89686763,0.80437154,4.1460633,2.0361884,-4.736882,-3.3492317,0.440464,0.19400853
2007-11-12,-1.780708,3.1709208,4.1230717,2.0305347,-4.72373,-3.3399324,-0.87696505,0.7690677
2007-11-13,-3.7143025,13.796043,4.522184,2.1265428,-4.947078,-3.4978516,-1.746639,3.0507479
2007-11-14,3.1525857,9.938797,4.1145387,2.0284326,-4.7188396,-3.3364747,1.5541979,2.4155312
2007-11-15,-0.7039236,0.4955084,1.9200819,1.3856702,-3.2235508,-2.2792246,-0.5080023,0.25806633
2007-11-16,1.7716458,3.1387289,2.2003345,1.4833524,-3.4507937,-2.4398975,1.1943526,1.4264781
2007-11-19,-0.484874,0.2351028,1.9701775,1.4036301,-3.265332,-2.3087661,-0.34544286,0.11933077
2007-11-20,3.519333,12.385704,2.7776732,1.6666353,-3.8771734,-2.741371,2.1116395,4.4590216
2007-11-21,-0.75773233,0.5741583,1.5353051,1.2390743,-2.8825178,-2.038096,-0.61153096,0.37397012
2007-11-23,0.9106313,0.8292494,2.189861,1.4798179,-3.4425712,-2.4340837,0.6153672,0.37867677
2007-11-26,-0.4901004,0.24019842,2.4865744,1.5768876,-3.668389,-2.5937493,-0.31080237,0.09659811
2007-11-27,-3.4148633,11.661292,3.3774352,1.83778,-4.2753153,-3.0228791,-1.8581458,3.4527059
2007-11-28,-4.107793,16.873962,4.381257,2.0931454,-4.8693843,-3.4429176,-1.9624976,3.8513968
2007-11-29,0.42944443,0.18442252,4.309855,2.076019,-4.8295426,-3.4147475,0.20685959,0.04279089
2007-11-30,-2.5596802,6.551963,3.4996967,1.8707477,-4.35201,-3.077106,-1.3682659,1.8721515
2007-12-03,0.67408246,0.45438716,3.5962374,1.8963748,-4.4116273,-3.1192589,0.35545844,0.1263507
2007-12-04,-1.1146858,1.2425244,2.990628,1.7293432,-4.0230536,-2.8445163,-0.6445718,0.41547278
2007-12-05,-0.94421023,0.89153296,3.395895,1.8427955,-4.2869835,-3.031129,-0.5123793,0.26253253
2007-12-06,3.0837526,9.50953,3.4397802,1.8546644,-4.3145947,-3.0506516,1.6627011,2.764575
2007-12-07,-2.1848435,4.7735415,2.0623412,1.4360853,-3.340834,-2.3621502,-1.5213884,2.3146226
2007-12-10,-0.4768922,0.22742617,2.700354,1.6432754,-3.8228302,-2.7029474,-0.29020834,0.08422088
2007-12-11,2.4287186,5.898674,3.9804523,1.995107,-4.641313,-3.281659,1.2173375,1.4819106
2007-12-12,4.7403297,22.470726,6.2220798,2.4944098,-5.802865,-4.102939,1.9003813,3.6114492
2007-12-13,-2.2932847,5.2591543,4.2221184,2.0547793,-4.7801313,-3.379811,-1.1160735,1.24562
2007-12-14,-1.0680174,1.1406611,5.9544663,2.4401774,-5.6767015,-4.013735,-0.4376802,0.19156396
2007-12-17,-0.7036856,0.4951734,7.4715524,2.733414,-6.3588715,-4.4960656,-0.25743836,0.06627451
2007-12-18,-0.154593,0.023898998,8.434099,2.9041522,-6.756068,-4.776905,-0.053231716,0.0028336155
