date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5,std_resid,squared_std_resid
2016-02-22,6.022763,36.27367,18.096724,4.2540245,-9.89634,-6.9972477,1.41578,2.004433
2016-02-23,1.2312746,1.5160371,13.491939,3.6731374,-8.544995,-6.0417733,0.3352106,0.11236614
2016-02-24,0.8747343,0.7651601,4.13363,2.033133,-4.7297745,-3.344206,0.43023956,0.18510608
2016-02-25,2.8214018,7.960308,8.551853,2.9243553,-6.8030677,-4.8101363,0.96479446,0.93082833
2016-02-26,-0.88079816,0.7758054,7.4461446,2.7287624,-6.3480506,-4.488415,-0.32278302,0.10418888
2016-02-29,2.9161882,8.504154,28.843266,5.3705926,-12.493866,-8.833838,0.5429919,0.2948402
2016-03-01,1.9076191,3.6390107,34.54831,5.877781,-13.673763,-9.668089,0.3245475,0.10533108
2016-03-02,0.7529671,0.5669595,35.212666,5.9340262,-13.804609,-9.760604,0.12688975,0.016101008
2016-03-03,-0.26000348,0.06760181,20.856243,4.5668635,-10.624113,-7.5118217,-0.056932613,0.0032413225
2016-03-04,3.8307946,14.674987,23.49178,4.846832,-11.275416,-7.9723287,0.7903708,0.62468606
2016-03-07,5.365696,28.790693,8.798363,2.9662035,-6.900421,-4.8789706,1.808944,3.2722783
2016-03-08,-3.763889,14.166861,8.791721,2.9650836,-6.8978157,-4.8771286,-1.269404,1.6113867
2016-03-09,4.787653,22.921621,11.244684,3.3533094,-7.800964,-5.515703,1.4277397,2.0384407
2016-03-10,-1.1822041,1.3976066,10.219563,3.196805,-7.4368806,-5.258276,-0.36980802,0.13675797
2016-03-11,1.7291493,2.9899573,10.084584,3.1756234,-7.3876047,-5.2234354,0.544507,0.2964879
2016-03-14,-3.488725,12.171202,5.2771792,2.2972112,-5.3441124,-3.7785761,-1.5186784,2.306384
2016-03-15,-2.2851923,5.2221036,5.132006,2.2653933,-5.2700925,-3.7262402,-1.0087397,1.0175558
2016-03-16,5.669965,32.148502,3.1724768,1.7811447,-4.1435623,-2.9297223,3.1833262,10.133566
2016-03-17,4.42483,19.57912,1.717213,1.3104248,-3.0485039,-2.155457,3.376638,11.401684
2016-03-18,-1.908652,3.6429522,1.3442202,1.1594051,-2.6971796,-1.9070517,-1.6462338,2.7100856
2016-03-21,1.1846421,1.4033768,3.308739,1.8189939,-4.2316127,-2.9919786,0.6512622,0.42414248
2016-03-22,3.7860985,14.334541,3.3074374,1.8186362,-4.23078,-2.9913902,2.0818338,4.334032
