date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5,std_resid,squared_std_resid
2019-12-12,0.71223295,0.50727576,3.9143503,1.9784718,-4.6026134,-3.2542963,0.35999146,0.12959385
2019-12-13,1.4926891,2.2281208,3.166744,1.7795348,-4.1398168,-2.9270742,0.8388086,0.7035999
2019-12-16,0.23278925,0.054190833,1.9827002,1.4080839,-3.275693,-2.3160918,0.16532342,0.027331833
2019-12-17,1.2051315,1.452342,2.0651214,1.4370531,-3.3430853,-2.3637419,0.8386131,0.7032719
2019-12-18,-0.016408175,0.0002692282,2.2387812,1.4962558,-3.4808114,-2.4611216,-0.010966157,0.00012025659
2019-12-19,0.47482842,0.22546203,2.6327744,1.6225827,-3.7746916,-2.668911,0.29263744,0.08563667
2019-12-20,-1.2822839,1.6442521,2.4212856,1.556048,-3.619909,-2.5594711,-0.8240645,0.6790823
2019-12-23,0.13227817,0.017497515,3.1336617,1.7702152,-4.1181364,-2.9117448,0.07472435,0.0055837277
2019-12-24,0.9701632,0.9412167,2.803543,1.6743784,-3.8951864,-2.7541072,0.57941693,0.33572397
2019-12-26,0.92842054,0.8619647,2.6651986,1.6325436,-3.7978642,-2.685295,0.5686957,0.32341483
2019-12-27,0.06483131,0.004203099,2.4490154,1.5649331,-3.6405787,-2.5740857,0.04142753,0.0017162403
2019-12-30,-0.06483131,0.004203099,2.5721433,1.6037903,-3.730974,-2.6380002,-0.040423807,0.0016340842
2019-12-31,-1.0102725,1.0206505,3.5948572,1.8960109,-4.410781,-3.1186602,-0.5328411,0.28391963
2020-01-02,0.1963334,0.0385468,4.1951675,2.0482109,-4.764851,-3.3690069,0.09585605,0.009188382
2020-01-03,3.0107708,9.064741,4.0671926,2.0167282,-4.6916113,-3.3172226,1.4928987,2.2287467
2020-01-06,0.348324,0.12132961,2.5124815,1.5850809,-3.6874495,-2.607226,0.21975157,0.048290752
2020-01-07,-0.9049831,0.8189944,2.5573688,1.5991775,-3.720243,-2.6304128,-0.56590533,0.32024884
2020-01-08,-5.0538106,25.541002,3.601102,1.897657,-4.4146104,-3.121368,-2.6631844,7.092551
2020-01-09,-0.08391246,0.007041301,3.9614847,1.9903479,-4.6302414,-3.273831,-0.042159695,0.0017774398
2020-01-10,-0.87690353,0.7689598,3.072836,1.7529507,-4.077973,-2.8833473,-0.50024426,0.25024432
2020-01-13,-1.6393794,2.6875648,4.152616,2.037797,-4.7406244,-3.3518777,-0.8044861,0.6471979
2020-01-14,0.2579276,0.066526644,5.262847,2.2940896,-5.33685,-3.7734416,0.112431355,0.01264081
2020-01-15,-0.7238883,0.52401423,5.0062504,2.2374651,-5.205122,-3.6803026,-0.32353052,0.104672
2020-01-16,1.2206789,1.490057,4.812512,2.1937437,-5.1034107,-3.6083872,0.5564364,0.30962148
2020-01-17,0.034171294,0.0011676773,3.9784248,1.9945989,-4.6401305,-3.280823,0.017131913,0.00029350247
2020-01-21,-0.342233,0.117123425,3.4856007,1.8669764,-4.3432364,-3.0709028,-0.18330869,0.033602078
2020-01-22,-2.780851,7.733132,3.8565912,1.9638206,-4.5685296,-3.2301974,-1.4160413,2.0051727
