date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5,std_resid,squared_std_resid
2022-07-15,1.872111,3.5047994,11.131609,3.3364067,-7.7616425,-5.4879007,0.5611159,0.31485108
2022-07-18,5.0062923,25.062963,11.1883,3.3448915,-7.781381,-5.501857,1.4966979,2.2401047
2022-07-19,1.5666144,2.4542806,10.295359,3.2086382,-7.4644084,-5.27774,0.488249,0.2383871
2022-07-20,-1.898545,3.604473,5.5256724,2.3506749,-5.4684873,-3.866516,-0.80765957,0.65231395
2022-07-21,-5.953123,35.439674,6.4784803,2.545286,-5.9212203,-4.1866226,-2.338882,5.470369
2022-07-22,-1.7273412,2.9837074,6.7615714,2.6003022,-6.049207,-4.2771163,-0.66428477,0.44127426
2022-07-25,2.0899403,4.3678503,6.512263,2.5519135,-5.9366384,-4.197524,0.8189699,0.6707117
2022-07-26,-1.7946992,3.2209451,5.683556,2.384021,-5.546062,-3.9213655,-0.75280344,0.56671304
2022-07-27,2.372145,5.6270714,3.7032819,1.9243913,-4.4768033,-3.1653419,1.2326729,1.5194825
2022-07-28,-0.8674197,0.75241697,3.5108247,1.8737195,-4.358923,-3.081994,-0.46294,0.21431345
2022-07-29,2.256048,5.089752,4.8318744,2.1981525,-5.1136675,-3.6156392,1.0263382,1.0533701
2022-08-01,-4.9150233,24.157454,12.292866,3.5061183,-8.15645,-5.767051,-1.4018419,1.9651606
2022-08-02,0.5629018,0.31685844,7.0146136,2.6485116,-6.1613593,-4.356414,0.21253514,0.045171186
2022-08-03,-4.063661,16.513342,4.8470526,2.2016022,-5.1216927,-3.6213133,-1.8457744,3.4068832
2022-08-04,-2.3661847,5.59883,4.7564673,2.1809328,-5.0736084,-3.587315,-1.0849416,1.1770983
2022-08-05,0.5294309,0.2802971,7.673316,2.770075,-6.444158,-4.556368,0.19112512,0.036528815
2022-08-08,1.9469937,3.7907846,9.182645,3.030288,-7.049504,-4.9843802,0.6425111,0.41282055
2022-08-09,-0.28688326,0.082302004,7.3343234,2.7081957,-6.300205,-4.4545856,-0.10593151,0.011221485
2022-08-10,1.5677571,2.4578624,6.626973,2.5742908,-5.9886956,-4.2343316,0.60900545,0.37088764
