date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5,std_resid,squared_std_resid
2014-09-15,0.7019863,0.4927848,1.8752685,1.3694044,-3.1857111,-2.2524698,0.51262164,0.26278093
2014-09-16,2.0874019,4.3572464,1.5823766,1.2579255,-2.9263723,-2.0691032,1.6594002,2.7536092
2014-09-17,-0.48600104,0.23619701,1.339297,1.15728,-2.6922357,-1.9035561,-0.41995114,0.17635897
2014-09-18,-1.4401001,2.0738883,2.1316283,1.4600097,-3.3964903,-2.4015021,-0.98636335,0.97291267
2014-09-19,-0.71166575,0.5064681,2.2170007,1.4889597,-3.463838,-2.4491208,-0.47796175,0.22844744
2014-09-22,-0.9677746,0.93658775,2.527303,1.5897493,-3.69831,-2.6149049,-0.6087593,0.37058786
2014-09-23,0.043697745,0.0019094929,1.6476959,1.2836261,-2.9861608,-2.111377,0.034042425,0.0011588867
2014-09-24,1.3452204,1.809618,1.4194326,1.1913995,-2.7716095,-1.9596777,1.1291095,1.2748883
2014-09-25,-0.29137695,0.08490053,1.7511466,1.323309,-3.078477,-2.1766496,-0.22018816,0.048482824
2014-09-26,1.0856259,1.1785836,1.572856,1.2541355,-2.9175553,-2.0628693,0.8656368,0.7493271
2014-09-29,1.0951135,1.1992736,1.8489478,1.3597602,-3.163275,-2.2366064,0.80537254,0.6486249
2014-09-30,-3.6724052,13.48656,1.3988187,1.1827167,-2.7514105,-1.9453958,-3.105059,9.641391
2014-10-01,-0.47281444,0.2235535,4.2826586,2.0694585,-4.81428,-3.4039562,-0.22847255,0.052199703
2014-10-02,0.30813137,0.09494494,3.8775606,1.9691522,-4.580933,-3.2389672,0.1564792,0.024485739
2014-10-03,-1.4052837,1.9748223,3.1747537,1.7817838,-4.145049,-2.9307735,-0.78869486,0.62203956
2014-10-06,0.6663713,0.4440507,3.8558238,1.9636252,-4.568075,-3.229876,0.33935767,0.11516363
2014-10-07,-1.6630752,2.765819,1.59552,1.263139,-2.9385006,-2.0776787,-1.316621,1.7334907
2014-10-08,-1.7484562,3.057099,2.6781616,1.636509,-3.807089,-2.6918175,-1.0684061,1.1414917
2014-10-09,-1.7795719,3.166876,3.0552425,1.7479252,-4.066282,-2.875081,-1.0181053,1.0365384
2014-10-10,0.058282014,0.0033967933,2.0268385,1.4236708,-3.3119533,-2.3417299,0.040937845,0.0016759072
2014-10-13,-0.09326398,0.008698169,2.3013294,1.5170133,-3.5291007,-2.4952648,-0.06147868,0.0037796283
2014-10-14,-4.655336,21.672152,1.8508147,1.3604465,-3.1648717,-2.2377353,-3.4219177,11.70952
2014-10-15,-0.07333769,0.0053784167,6.6183987,2.572625,-5.9848204,-4.231591,-0.02850695,0.0008126462
2014-10-16,1.1186866,1.2514596,5.265771,2.2947268,-5.3383327,-3.7744896,0.48750314,0.2376593
2014-10-17,0.060444914,0.0036535875,6.160015,2.481938,-5.773851,-4.0824246,0.02435392,0.0005931134
2014-10-20,-0.04835116,0.0023378348,6.324104,2.5147772,-5.8502464,-4.1364403,-0.019226817,0.0003696705
2014-10-21,0.120829485,0.014599765,4.156228,2.038683,-4.742686,-3.353335,0.059268404,0.0035127436
