date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5,std_resid,squared_std_resid
2009-05-22,9.039279,81.708565,13.6122675,3.6894805,-8.583015,-6.0686555,2.450014,6.002569
2009-05-29,7.254312,52.625042,13.614902,3.6898377,-8.583846,-6.069243,1.9660248,3.8652534
2009-06-05,3.1616807,9.996224,13.608186,3.6889274,-8.581728,-6.0677457,0.8570732,0.73457444
2009-06-12,5.126405,26.280025,13.599336,3.6877277,-8.578938,-6.065772,1.3901256,1.9324492
2009-06-19,-3.517557,12.373206,13.598549,3.687621,-8.57869,-6.065597,-0.9538824,0.9098916
2009-06-26,-0.5623248,0.3162092,13.601345,3.6880002,-8.579572,-6.0662203,-0.15247418,0.023248376
2009-07-03,-3.5768037,12.793525,13.596379,3.687327,-8.578005,-6.065113,-0.9700262,0.9409508
2009-07-10,-10.814514,116.95372,13.593888,3.686989,-8.577219,-6.064557,-2.933156,8.603404
2009-07-17,5.9474826,35.37255,13.613337,3.6896255,-8.583352,-6.068894,1.6119475,2.5983748
2009-07-24,6.8258414,46.59211,13.605168,3.6885185,-8.580777,-6.067073,1.8505645,3.424589
2009-07-31,2.036425,4.147027,13.604985,3.6884937,-8.580719,-6.0670323,0.5521021,0.30481672
2009-08-07,2.1086454,4.4463854,13.598709,3.6876428,-8.57874,-6.0656323,0.5718139,0.3269711
2009-08-14,-4.941771,24.4211,13.596635,3.6873615,-8.578085,-6.06517,-1.3401916,1.7961135
2009-08-21,9.030172,81.544014,13.597461,3.6874735,-8.578346,-6.065354,2.4488778,5.9970026
2009-08-28,-1.5686082,2.4605315,13.602552,3.6881638,-8.579951,-6.066489,-0.4253087,0.18088749
2009-09-04,-6.7089677,45.010246,13.597159,3.6874325,-8.578251,-6.0652866,-1.8194144,3.3102686
2009-09-11,1.8498878,3.422085,13.61085,3.6892886,-8.582568,-6.06834,0.5014213,0.2514233
2009-09-18,3.8920925,15.148384,13.602458,3.6881511,-8.579923,-6.0664687,1.0552964,1.1136506
2009-09-25,-8.726386,76.14981,13.596807,3.6873848,-8.578139,-6.0652084,-2.3665514,5.6005654
2009-10-02,5.7822986,33.43498,13.605296,3.6885357,-8.580817,-6.067101,1.5676407,2.4574974
2009-10-09,2.5685859,6.5976334,13.602587,3.6881685,-8.579963,-6.0664973,0.6964394,0.48502782
2009-10-16,9.001419,81.02554,13.603454,3.688286,-8.580236,-6.0666904,2.4405425,5.9562473
2009-10-23,2.4776483,6.138741,13.604399,3.688414,-8.580534,-6.066901,0.6717381,0.45123205
2009-10-30,-4.445176,19.75959,13.598598,3.6876276,-8.578704,-6.0656075,-1.2054298,1.453061
2009-11-06,0.55688846,0.31012475,13.594985,3.6871378,-8.577565,-6.0648017,0.15103543,0.0228117
2009-11-13,-1.4046295,1.972984,13.602821,3.6882002,-8.580036,-6.0665493,-0.38084415,0.14504227
