date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5,std_resid,squared_std_resid
2020-03-12,-10.056879,101.140816,18.332558,4.2816534,-9.960615,-7.042693,-2.3488307,5.5170054
2020-03-13,8.2028,67.28593,20.64075,4.5432096,-10.569086,-7.4729147,1.8055077,3.259858
2020-03-16,-11.588649,134.29678,5.045916,2.2463117,-5.2257023,-3.6948538,-5.1589675,26.614946
2020-03-17,5.258503,27.651854,10.390529,3.2234342,-7.4988294,-5.3020773,1.6313356,2.6612558
2020-03-18,-5.195988,26.998293,6.502116,2.5499249,-5.932012,-4.194253,-2.0377026,4.1522317
2020-03-19,0.21225004,0.04505008,14.822116,3.84995,-8.956323,-6.3326044,0.055130593,0.0030393824
2020-03-20,-4.4050055,19.404074,24.602371,4.960078,-11.538866,-8.158602,-0.88809204,0.7887075
2020-03-23,-2.5900657,6.7084403,26.909256,5.187413,-12.067727,-8.532536,-0.49929813,0.24929862
2020-03-24,8.6731,75.22267,28.587074,5.3466883,-12.438256,-8.794519,1.6221445,2.6313527
2020-03-25,1.4859166,2.2079482,5.725731,2.39285,-5.5666013,-3.9358878,0.62098193,0.38561857
2020-03-26,5.6748652,32.204094,15.067599,3.8817005,-9.030186,-6.384829,1.4619534,2.1373076
2020-03-27,-3.0238287,9.14354,4.348405,2.085283,-4.851094,-3.4299853,-1.4500808,2.102734
2020-03-30,3.1959462,10.214072,17.034908,4.1273365,-9.601621,-6.788864,0.7743362,0.59959656
2020-03-31,-1.5017463,2.2552419,13.187858,3.631509,-8.4481535,-5.973301,-0.4135323,0.17100896
2020-04-01,-4.6049175,21.205265,21.196651,4.603982,-10.710464,-7.5728765,-1.0002033,1.0004065
2020-04-02,2.281305,5.204353,23.536064,4.851398,-11.286039,-7.9798393,0.47023663,0.22112249
2020-04-03,-1.4559543,2.119803,22.681908,4.7625527,-11.079354,-7.833702,-0.3057088,0.09345787
2020-04-06,6.5006704,42.258717,19.593544,4.4264593,-10.297484,-7.2808776,1.4685937,2.1567676
2020-04-07,0.10192179,0.010388051,4.088093,2.0219033,-4.7036505,-3.3257349,0.050408836,0.0025410508
2020-04-08,3.3017292,10.901416,11.950666,3.4569736,-8.042123,-5.6862154,0.95509243,0.9122015
2020-04-09,1.5102568,2.2808754,7.188566,2.6811502,-6.237288,-4.4100995,0.5632869,0.31729212
2020-04-13,-0.91718006,0.84121925,14.001816,3.7419,-8.704961,-6.1548777,-0.2451108,0.060079303
2020-04-14,2.906607,8.448363,10.640677,3.262005,-7.5885587,-5.365521,0.89104915,0.79396856
2020-04-15,-2.1476989,4.6126103,6.074935,2.4647384,-5.7338386,-4.054134,-0.8713699,0.7592855
2020-04-16,0.4812817,0.23163207,5.322257,2.3070018,-5.3668885,-3.7946804,0.20861782,0.043521397
2020-04-17,2.6656618,7.105753,5.9877615,2.4469903,-5.6925507,-4.0249405,1.0893635,1.1867127
2020-05-22,0.18970343,0.035987392,6.598827,2.568818,-5.9759645,-4.22533,0.07384853,0.0054536057
2020-05-26,1.2245327,1.4994804,8.836845,2.9726832,-6.915495,-4.8896284,0.41192845,0.16968505
2020-05-27,1.4769404,2.1813529,4.195491,2.0482898,-4.7650347,-3.3691368,0.7210603,0.5199279
2020-05-28,-0.18465354,0.034096926,4.357089,2.0873642,-4.855935,-3.4334085,-0.08846254,0.0078256205
2020-05-29,0.44458467,0.19765553,6.7880135,2.6053817,-6.061024,-4.2854714,0.1706409,0.029118316
2020-06-01,0.4033468,0.16268864,8.593065,2.9313931,-6.81944,-4.8217125,0.13759561,0.018932551
2020-06-02,0.8246286,0.6800123,8.184727,2.860896,-6.6554394,-4.705755,0.28824136,0.08308308
2020-06-03,1.3220563,1.7478329,8.13521,2.8522289,-6.6352763,-4.6914988,0.4635169,0.2148479
2020-06-04,-0.263038,0.069189,0.5047769,0.7104765,-1.6528155,-1.1686299,-0.3702276,0.13706848
2020-06-05,2.5306447,6.4041624,0.39396262,0.62766445,-1.4601659,-1.0324161,4.031843,16.25576
2020-06-08,1.2015193,1.4436485,0.27854055,0.5277694,-1.2277752,-0.8681034,2.276599,5.182903
2020-06-09,-0.74844885,0.56017566,0.25386703,0.5038522,-1.1721355,-0.82876307,-1.4854532,2.2065713
2020-06-10,-0.5595512,0.31309754,0.25753015,0.5074743,-1.1805618,-0.8347209,-1.1026198,1.2157704
2020-06-11,-5.9377337,35.25668,0.48162097,0.69398916,-1.6144601,-1.1415106,-8.555945,73.2042
2020-06-12,1.1904166,1.4170916,4.5132527,2.1244419,-4.9421906,-3.4943957,0.5603432,0.3139845
2020-06-15,0.92926055,0.86352515,6.915161,2.6296694,-6.1175256,-4.3254213,0.35337543,0.1248742
2020-06-16,1.9064757,3.6346495,5.9471507,2.438678,-5.6732135,-4.011268,0.78176606,0.6111582
2020-06-17,-0.41625136,0.17326519,2.5995824,1.6123221,-3.750822,-2.6520338,-0.25816888,0.066651165
2020-06-18,0.038489647,0.001481453,2.500182,1.5811963,-3.6784127,-2.6008365,0.024342105,0.00059253804
2020-06-19,-0.5731336,0.32848212,3.1258392,1.7680043,-4.112993,-2.9081082,-0.32416978,0.10508605
2020-06-22,0.63944924,0.40889534,3.027519,1.7399768,-4.047791,-2.8620071,0.36750448,0.13505954
2020-06-23,0.45935994,0.21101156,2.815189,1.6778525,-3.9032686,-2.7598217,0.2737785,0.074954666
2020-06-24,-2.5839946,6.677028,2.2198102,1.4899027,-3.466032,-2.450672,-1.7343378,3.0079277
2020-06-25,1.0663466,1.1370952,0.95712614,0.9783282,-2.2759318,-1.6092067,1.0899682,1.1880307
2020-06-26,-2.4038029,5.7782683,1.1026062,1.0500506,-2.4427829,-1.7271795,-2.2892258,5.240555
2020-06-29,1.4590449,2.128812,0.23436944,0.48411718,-1.126225,-0.7963019,3.013826,9.083146
2020-06-30,1.2727939,1.6200043,0.8202952,0.9057015,-2.1069767,-1.4897465,1.4053128,1.974904
2020-07-01,0.6980575,0.48728424,0.6853754,0.827874,-1.9259229,-1.3617315,0.8431929,0.7109742
2020-07-02,0.54917026,0.30158797,1.561297,1.2495188,-2.9068153,-2.0552754,0.43950543,0.19316502
2020-07-06,1.5319449,2.3468552,2.7979164,1.6726973,-3.8912756,-2.751342,0.915853,0.8387868
2020-07-07,-1.036724,1.0747966,3.520272,1.8762388,-4.3647842,-3.0861382,-0.55255437,0.30531633
2020-07-08,0.76193374,0.58054304,3.6579406,1.9125743,-4.449313,-3.1459048,0.39838126,0.15870763
2020-07-09,-0.5709158,0.32594487,3.0722198,1.752775,-4.0775642,-2.883058,-0.3257211,0.10609424
2020-07-10,1.0158991,1.0320508,1.8778101,1.3703321,-3.187869,-2.2539957,0.74135244,0.54960346
