target,freq,exog,regime,mse,rmse,mae,qlike,var_1_hit_rate
GOLD,daily,no_exog,CALM_17_19,2.5289919435977937,1.3276593446731568,0.810458493232727,0.4486982345581055,0.003333333333333333
GOLD,daily,no_exog,COVID,22.43344020843506,4.57012406984965,2.370450774828593,1.7542438507080078,0.044444444444444446
GOLD,daily,no_exog,ENERGY_22,1.7198879346251488,1.2466693371534348,0.8919982612133026,0.7461200580000877,0.0125
GOLD,daily,no_exog,GFC,31.996152210235596,5.190698194503784,2.843030500411987,2.0245136976242066,0.02
GOLD,daily,no_exog,OIL_CRASH,2.4213867664337156,1.5258790493011474,1.082962441444397,0.9432867527008056,0.016666666666666666
GOLD,daily,with_exog,CALM_17_19,2.4758648931980134,1.3343803882598877,0.85431067943573,0.41073229610919954,0.003333333333333333
GOLD,daily,with_exog,COVID,20.909696261088055,4.43111793200175,2.3014578024546304,1.6804628769556682,0.03888888888888889
GOLD,daily,with_exog,ENERGY_22,1.875812105834484,1.2968264371156693,0.9515356570482254,0.7737603560090065,0.008333333333333333
GOLD,daily,with_exog,GFC,42.735293292999266,6.0605103969573975,3.9885474920272825,1.9937877178192138,0.01
GOLD,daily,with_exog,OIL_CRASH,2.4288657188415526,1.5322094202041625,1.0981505274772645,0.9443808794021606,0.016666666666666666
GOLD,weekly,no_exog,CALM_17_19,17.281325658162434,4.038276672363281,3.1164022286732993,1.9121601184209187,0.0
GOLD,weekly,no_exog,GFC,338.77061971028644,17.258529980977375,13.165557861328125,42917533.239005566,0.025641025641025644
GOLD,weekly,no_exog,OIL_CRASH,72.97230339050293,8.00156021118164,5.220629692077637,1577621.4259384472,0.05128205128205129
GOLD,weekly,with_exog,CALM_17_19,17.22079594930013,4.089937448501587,3.1679252783457437,1.9558176199595134,0.0
GOLD,weekly,with_exog,GFC,733.2295532226562,22.378889719645183,18.46910794576009,3.5772997538248696,0.025641025641025644
GOLD,weekly,with_exog,OIL_CRASH,54.91487566630045,7.087374687194824,4.588922421137492,2.408966064453125,0.025641025641025644
OIL,daily,no_exog,CALM_17_19,2152.867937660217,25.405841064453124,7.281502294540405,2.4854223012924193,0.03
OIL,daily,no_exog,COVID,5768.039148966472,49.97542921702067,19.750168482462566,3.4079877535502114,0.03333333333333333
OIL,daily,no_exog,ENERGY_22,218.21578884124756,11.92059588432312,7.895134329795837,3.0385860204696655,0.0125
OIL,daily,no_exog,GFC,821.9984294891358,20.81257152557373,14.006139183044434,3.416164016723633,0.019999999999999997
OIL,daily,no_exog,OIL_CRASH,183.43110046386718,13.100379371643067,7.388911533355713,3.0217874526977537,0.026666666666666665
OIL,daily,with_exog,CALM_17_19,2066.4769815444947,24.96263518333435,7.029285907745361,2.3258821964263916,0.030000000000000006
OIL,daily,with_exog,COVID,5515.63419342041,49.29155985514323,20.450000921885174,3.2172141869862876,0.016666666666666666
OIL,daily,with_exog,ENERGY_22,253.4886350631714,12.550690054893494,7.9571533203125,3.023155987262726,0.025
OIL,daily,with_exog,GFC,894.9157566070556,21.646213054656982,15.224518203735352,3.3925379276275636,0.013333333333333332
OIL,daily,with_exog,OIL_CRASH,181.53654022216796,13.068821334838868,7.256456661224365,3.081039476394653,0.04
